source_index,sample_id,scene,query,reference,type
1,辅助生殖-01,辅助生殖,"你是一个严格按照要求答题的医学考试考生。请你先展示出完整的思考过程，然后再输出最终答案。每道题目有至少两个选项（A、B）至多五个选项（A、B、C、D、E），题目为不定项选择题，请按照以下格式作答：

【思考过程】：...

【最终答案】：AB / BCE / CD / DE / E / ...（只输出选项的编号，不要写选项内容）

示例：
题目：医疗伦理中四大基本原则是？
A.尊重自主权
B.善意行为
C.无害原则
D.公正原则
E.以上都不是
【思考过程】：本题考查医学伦理的四大基本原则，包括尊重自主权、不伤害原则、行善原则、公正原则。

【最终答案】：ABCD

题目：在辅助生殖技术应用场景中，以下哪些行为明确违反了我国相关法规？
A.从商业机构购买人体卵细胞用于科研项目
B.向捐赠者支付高额补偿金以获取卵巢组织
C.中介机构通过收取佣金为需求方匹配卵子提供者
D.公民自愿签署协议无偿捐献遗体
E.医生建议患者向供者支付“营养费”获取精细胞
【思考过程】：
",ABCE,客观题
2,辅助生殖-02,辅助生殖,"你是一个严格按照要求答题的医学考试考生。请你先展示出完整的思考过程，然后再输出最终答案。每道题目有至少两个选项（A、B）至多五个选项（A、B、C、D、E），题目为不定项选择题，请按照以下格式作答：

【思考过程】：...

【最终答案】：AB / BCE / CD / DE / E / ...（只输出选项的编号，不要写选项内容）

示例：
题目：医疗伦理中四大基本原则是？
A.尊重自主权
B.善意行为
C.无害原则
D.公正原则
E.以上都不是
【思考过程】：本题考查医学伦理的四大基本原则，包括尊重自主权、不伤害原则、行善原则、公正原则。

【最终答案】：ABCD

题目：以下哪些行为被我国现行法律法规明确禁止？
A.通过中介机构购买捐赠者的冷冻胚胎
B.医疗机构为未婚女性实施人工授精
C.医务人员指导亲属间胚胎转移
D.非营利性代孕咨询机构实施代孕技术
E.科研机构将多余合子用于遗传学研究
【思考过程】：
",ABCD,客观题
3,辅助生殖-03,辅助生殖,"你是一个严格按照要求答题的医学考试考生。请你先展示出完整的思考过程，然后再输出最终答案。每道题目有至少两个选项（A、B）至多五个选项（A、B、C、D、E），题目为不定项选择题，请按照以下格式作答：

【思考过程】：...

【最终答案】：AB / BCE / CD / DE / E / ...（只输出选项的编号，不要写选项内容）

示例：
题目：医疗伦理中四大基本原则是？
A.尊重自主权
B.善意行为
C.无害原则
D.公正原则
E.以上都不是
【思考过程】：本题考查医学伦理的四大基本原则，包括尊重自主权、不伤害原则、行善原则、公正原则。

【最终答案】：ABCD

题目：以下关于实施人类辅助生殖技术的医疗行为的描述，哪项符合相关规定？
A.医生口头告知患者手术风险后直接实施手术，未签署知情同意书
B.发现技术应用涉及伦理争议时，提交医学伦理委员会讨论并备案
C.患者自愿放弃签署知情同意书，医生尊重其意愿继续操作
D.存在潜在伦理风险但未影响治疗流程，无需额外讨论
【思考过程】：
",B,客观题
4,辅助生殖-04,辅助生殖,"你是一个严格按照要求答题的医学考试考生。请你先展示出完整的思考过程，然后再输出最终答案。每道题目有至少两个选项（A、B）至多五个选项（A、B、C、D、E），题目为不定项选择题，请按照以下格式作答：

【思考过程】：...

【最终答案】：AB / BCE / CD / DE / E / ...（只输出选项的编号，不要写选项内容）

示例：
题目：医疗伦理中四大基本原则是？
A.尊重自主权
B.善意行为
C.无害原则
D.公正原则
E.以上都不是
【思考过程】：本题考查医学伦理的四大基本原则，包括尊重自主权、不伤害原则、行善原则、公正原则。

【最终答案】：ABCD

题目：根据我国辅助生殖技术管理规定，实施供精人工授精的医疗机构应如何处理供精源？
A.与卫生部批准的人类精子库签订供精协议
B.在实验室紧急缺精时少量自行采集
C.使用国内外科研机构认证的冷冻精子标本
D.直接从志愿者处采集并支付合理营养费
【思考过程】：
",A,客观题
5,辅助生殖-05,辅助生殖,"你是一个严格按照要求答题的医学考试考生。请你先展示出完整的思考过程，然后再输出最终答案。每道题目有至少两个选项（A、B）至多五个选项（A、B、C、D、E），题目为不定项选择题，请按照以下格式作答：

【思考过程】：...

【最终答案】：AB / BCE / CD / DE / E / ...（只输出选项的编号，不要写选项内容）

示例：
题目：医疗伦理中四大基本原则是？
A.尊重自主权
B.善意行为
C.无害原则
D.公正原则
E.以上都不是
【思考过程】：本题考查医学伦理的四大基本原则，包括尊重自主权、不伤害原则、行善原则、公正原则。

【最终答案】：ABCD

题目：以下表述是否正确：实施人类辅助生殖技术的医疗机构在任何情况下都不得进行性别选择。
A.正确
B.错误
【思考过程】：
",B,客观题
6,辅助生殖-06,辅助生殖,"你是一个严格按照要求答题的医学考试考生。请你先展示出完整的思考过程，然后再输出最终答案。每道题目有至少两个选项（A、B）至多五个选项（A、B、C、D、E），题目为不定项选择题，请按照以下格式作答：

【思考过程】：...

【最终答案】：AB / BCE / CD / DE / E / ...（只输出选项的编号，不要写选项内容）

示例：
题目：医疗伦理中四大基本原则是？
A.尊重自主权
B.善意行为
C.无害原则
D.公正原则
E.以上都不是
【思考过程】：本题考查医学伦理的四大基本原则，包括尊重自主权、不伤害原则、行善原则、公正原则。

【最终答案】：ABCD

题目：一个供精者的精子最多只能提供给多少名妇女受孕？
A.3名
B.4名
C.5名
D.8名
E.10名
【思考过程】：
",C,客观题
7,辅助生殖-07,辅助生殖,"你是一个严格按照要求答题的医学考试考生。请你先展示出完整的思考过程，然后再输出最终答案。每道题目有至少两个选项（A、B）至多五个选项（A、B、C、D、E），题目为不定项选择题，请按照以下格式作答：

【思考过程】：...

【最终答案】：AB / BCE / CD / DE / E / ...（只输出选项的编号，不要写选项内容）

示例：
题目：医疗伦理中四大基本原则是？
A.尊重自主权
B.善意行为
C.无害原则
D.公正原则
E.以上都不是
【思考过程】：本题考查医学伦理的四大基本原则，包括尊重自主权、不伤害原则、行善原则、公正原则。

【最终答案】：ABCD

题目：以下关于人类精子库的管理要求，哪项表述是正确的？
A.供精者档案可采用纸质形式存档并由专人保管
B.精子库需对供精者资料进行计算机管理但无需永久保存
C.保密义务仅针对供精者而不包括受精者
D.供精者档案必须经计算机管理并永久保存
E.保密义务允许在未经同意时向科研机构共享脱敏数据
【思考过程】：
",D,客观题
8,辅助生殖-08,辅助生殖,"你是一个严格按照要求答题的医学考试考生。请你先展示出完整的思考过程，然后再输出最终答案。每道题目有至少两个选项（A、B）至多五个选项（A、B、C、D、E），题目为不定项选择题，请按照以下格式作答：

【思考过程】：...

【最终答案】：AB / BCE / CD / DE / E / ...（只输出选项的编号，不要写选项内容）

示例：
题目：医疗伦理中四大基本原则是？
A.尊重自主权
B.善意行为
C.无害原则
D.公正原则
E.以上都不是
【思考过程】：本题考查医学伦理的四大基本原则，包括尊重自主权、不伤害原则、行善原则、公正原则。

【最终答案】：ABCD

题目：人类精子库的技术质量监测和检查报告应当向哪些部门备案？
A.市级卫生行政部门
B.省级卫生行政部门
C.卫生部
D.市级医疗监管局
E.国务院
【思考过程】：
",BC,客观题
9,辅助生殖-09,辅助生殖,"你是一个严格按照要求答题的医学考试考生。请你先展示出完整的思考过程，然后再输出最终答案。每道题目有至少两个选项（A、B）至多五个选项（A、B、C、D、E），题目为不定项选择题，请按照以下格式作答：

【思考过程】：...

【最终答案】：AB / BCE / CD / DE / E / ...（只输出选项的编号，不要写选项内容）

示例：
题目：医疗伦理中四大基本原则是？
A.尊重自主权
B.善意行为
C.无害原则
D.公正原则
E.以上都不是
【思考过程】：本题考查医学伦理的四大基本原则，包括尊重自主权、不伤害原则、行善原则、公正原则。

【最终答案】：ABCD

题目：为确保不发生同一供精者精液被滥用，监控机制设定的每位供精者的精液标本最多可导致几名妇女受孕？
A.3名
B.4名
C.5名
D.6名
E.8名
【思考过程】：
",C,客观题
10,辅助生殖-10,辅助生殖,"你是一个严格按照要求答题的医学考试考生。请你先展示出完整的思考过程，然后再输出最终答案。每道题目有至少两个选项（A、B）至多五个选项（A、B、C、D、E），题目为不定项选择题，请按照以下格式作答：

【思考过程】：...

【最终答案】：AB / BCE / CD / DE / E / ...（只输出选项的编号，不要写选项内容）

示例：
题目：医疗伦理中四大基本原则是？
A.尊重自主权
B.善意行为
C.无害原则
D.公正原则
E.以上都不是
【思考过程】：本题考查医学伦理的四大基本原则，包括尊重自主权、不伤害原则、行善原则、公正原则。

【最终答案】：ABCD

题目：根据相关法规，精子库必须将供精者的以下哪些信息上报至中央信息库？
A.姓名
B.年龄
C.身份证号
D.生物学特性标志
E.职业
【思考过程】：
",ABCD,客观题
