scene,query,reference,model,response,type,answer_model
辅助生殖,"你是一个严格按照要求答题的医学考试考生。请你先展示出完整的思考过程，然后再输出最终答案。每道题目有至少两个选项（A、B）至多五个选项（A、B、C、D、E），题目为不定项选择题，请按照以下格式作答：

【思考过程】：...

【最终答案】：AB / BCE / CD / DE / E / ...（只输出选项的编号，不要写选项内容）

示例：
题目：医疗伦理中四大基本原则是？
A.尊重自主权
B.善意行为
C.无害原则
D.公正原则
E.以上都不是
【思考过程】：本题考查医学伦理的四大基本原则，包括尊重自主权、不伤害原则、行善原则、公正原则。

【最终答案】：ABCD

题目：在辅助生殖技术应用场景中，以下哪些行为明确违反了我国相关法规？
A.从商业机构购买人体卵细胞用于科研项目
B.向捐赠者支付高额补偿金以获取卵巢组织
C.中介机构通过收取佣金为需求方匹配卵子提供者
D.公民自愿签署协议无偿捐献遗体
E.医生建议患者向供者支付“营养费”获取精细胞
【思考过程】：",ABCE,DeepSeek-V3,"【思考过程】：本题考查我国辅助生殖技术应用中的法律禁止行为。根据我国《人类辅助生殖技术管理办法》及相关法规：
1. 商业买卖配子（卵细胞、精细胞）、卵巢组织等明确禁止（A、B、C均涉及商业交易）；
2. 中介机构从事配子匹配并收取佣金属于非法行为（C）；
3. 以“营养费”等名义变相买卖配子违法（E）；
4. 遗体捐献与辅助生殖技术无关，且题干限定“辅助生殖技术应用场景”（D不相关）。

【最终答案】：ABCE",客观题,ABCE
辅助生殖,"你是一个严格按照要求答题的医学考试考生。请你先展示出完整的思考过程，然后再输出最终答案。每道题目有至少两个选项（A、B）至多五个选项（A、B、C、D、E），题目为不定项选择题，请按照以下格式作答：

【思考过程】：...

【最终答案】：AB / BCE / CD / DE / E / ...（只输出选项的编号，不要写选项内容）

示例：
题目：医疗伦理中四大基本原则是？
A.尊重自主权
B.善意行为
C.无害原则
D.公正原则
E.以上都不是
【思考过程】：本题考查医学伦理的四大基本原则，包括尊重自主权、不伤害原则、行善原则、公正原则。

【最终答案】：ABCD

题目：以下哪些行为被我国现行法律法规明确禁止？
A.通过中介机构购买捐赠者的冷冻胚胎
B.医疗机构为未婚女性实施人工授精
C.医务人员指导亲属间胚胎转移
D.非营利性代孕咨询机构实施代孕技术
E.科研机构将多余合子用于遗传学研究
【思考过程】：",ABCD,DeepSeek-V3,"【思考过程】：
1. 根据我国《人类辅助生殖技术管理办法》和《人类辅助生殖技术规范》等相关法律法规：
   - A选项“通过中介机构购买捐赠者的冷冻胚胎”被明确禁止，因为胚胎买卖是违法行为。
   - B选项“医疗机构为未婚女性实施人工授精”未被明确禁止，但实际操作中可能受到严格限制。
   - C选项“医务人员指导亲属间胚胎转移”属于代孕相关行为，被明确禁止。
   - D选项“非营利性代孕咨询机构实施代孕技术”中的代孕技术在我国被全面禁止，无论机构性质。
   - E选项“科研机构将多余合子用于遗传学研究”需经严格审批，未经批准属于违法行为。

2. 我国明确禁止的行为包括：胚胎买卖、任何形式的代孕（含亲属间）、未经批准的胚胎研究。

【最终答案】：ACD",客观题,ACD
辅助生殖,"你是一个严格按照要求答题的医学考试考生。请你先展示出完整的思考过程，然后再输出最终答案。每道题目有至少两个选项（A、B）至多五个选项（A、B、C、D、E），题目为不定项选择题，请按照以下格式作答：

【思考过程】：...

【最终答案】：AB / BCE / CD / DE / E / ...（只输出选项的编号，不要写选项内容）

示例：
题目：医疗伦理中四大基本原则是？
A.尊重自主权
B.善意行为
C.无害原则
D.公正原则
E.以上都不是
【思考过程】：本题考查医学伦理的四大基本原则，包括尊重自主权、不伤害原则、行善原则、公正原则。

【最终答案】：ABCD

题目：以下关于实施人类辅助生殖技术的医疗行为的描述，哪项符合相关规定？
A.医生口头告知患者手术风险后直接实施手术，未签署知情同意书
B.发现技术应用涉及伦理争议时，提交医学伦理委员会讨论并备案
C.患者自愿放弃签署知情同意书，医生尊重其意愿继续操作
D.存在潜在伦理风险但未影响治疗流程，无需额外讨论
【思考过程】：",B,DeepSeek-V3,"【思考过程】：本题考查人类辅助生殖技术的伦理规范和法律要求。根据相关规定：  
1. **知情同意书**是必须签署的法律文件（A错误，C错误）；  
2. 涉及伦理争议时必须提交伦理委员会讨论（B正确）；  
3. 任何潜在伦理风险均需评估并记录（D错误）。  

【最终答案】：B",客观题,B
辅助生殖,"你是一个严格按照要求答题的医学考试考生。请你先展示出完整的思考过程，然后再输出最终答案。每道题目有至少两个选项（A、B）至多五个选项（A、B、C、D、E），题目为不定项选择题，请按照以下格式作答：

【思考过程】：...

【最终答案】：AB / BCE / CD / DE / E / ...（只输出选项的编号，不要写选项内容）

示例：
题目：医疗伦理中四大基本原则是？
A.尊重自主权
B.善意行为
C.无害原则
D.公正原则
E.以上都不是
【思考过程】：本题考查医学伦理的四大基本原则，包括尊重自主权、不伤害原则、行善原则、公正原则。

【最终答案】：ABCD

题目：根据我国辅助生殖技术管理规定，实施供精人工授精的医疗机构应如何处理供精源？
A.与卫生部批准的人类精子库签订供精协议
B.在实验室紧急缺精时少量自行采集
C.使用国内外科研机构认证的冷冻精子标本
D.直接从志愿者处采集并支付合理营养费
【思考过程】：",A,DeepSeek-V3,"【思考过程】：本题考查我国辅助生殖技术管理规定中关于供精人工授精的供精源处理要求。根据相关规定，医疗机构必须与卫生部批准的人类精子库签订供精协议，不得自行采集或使用未经批准的冷冻精子标本，也不得直接从志愿者处采集并支付费用。选项A符合规定，其他选项均违反管理要求。

【最终答案】：A",客观题,A
辅助生殖,"你是一个严格按照要求答题的医学考试考生。请你先展示出完整的思考过程，然后再输出最终答案。每道题目有至少两个选项（A、B）至多五个选项（A、B、C、D、E），题目为不定项选择题，请按照以下格式作答：

【思考过程】：...

【最终答案】：AB / BCE / CD / DE / E / ...（只输出选项的编号，不要写选项内容）

示例：
题目：医疗伦理中四大基本原则是？
A.尊重自主权
B.善意行为
C.无害原则
D.公正原则
E.以上都不是
【思考过程】：本题考查医学伦理的四大基本原则，包括尊重自主权、不伤害原则、行善原则、公正原则。

【最终答案】：ABCD

题目：以下表述是否正确：实施人类辅助生殖技术的医疗机构在任何情况下都不得进行性别选择。
A.正确
B.错误
【思考过程】：",B,DeepSeek-V3,"【思考过程】：本题考查人类辅助生殖技术中的性别选择问题。根据我国相关法律法规，禁止非医学需要的胎儿性别鉴定和选择性别人工终止妊娠。但在某些特殊情况下，如与性别有关的遗传病，可以进行性别选择以避免疾病传递。因此，题目中的“任何情况下”表述过于绝对，是错误的。

【最终答案】：B",客观题,B
辅助生殖,"你是一个严格按照要求答题的医学考试考生。请你先展示出完整的思考过程，然后再输出最终答案。每道题目有至少两个选项（A、B）至多五个选项（A、B、C、D、E），题目为不定项选择题，请按照以下格式作答：

【思考过程】：...

【最终答案】：AB / BCE / CD / DE / E / ...（只输出选项的编号，不要写选项内容）

示例：
题目：医疗伦理中四大基本原则是？
A.尊重自主权
B.善意行为
C.无害原则
D.公正原则
E.以上都不是
【思考过程】：本题考查医学伦理的四大基本原则，包括尊重自主权、不伤害原则、行善原则、公正原则。

【最终答案】：ABCD

题目：一个供精者的精子最多只能提供给多少名妇女受孕？
A.3名
B.4名
C.5名
D.8名
E.10名
【思考过程】：",C,DeepSeek-V3,"【思考过程】：本题考查辅助生殖技术中的伦理规范。根据我国《人类辅助生殖技术规范》规定，为防止近亲婚配风险，同一供精者的精子最多只能使5名妇女受孕。

【最终答案】：C",客观题,C
辅助生殖,"你是一个严格按照要求答题的医学考试考生。请你先展示出完整的思考过程，然后再输出最终答案。每道题目有至少两个选项（A、B）至多五个选项（A、B、C、D、E），题目为不定项选择题，请按照以下格式作答：

【思考过程】：...

【最终答案】：AB / BCE / CD / DE / E / ...（只输出选项的编号，不要写选项内容）

示例：
题目：医疗伦理中四大基本原则是？
A.尊重自主权
B.善意行为
C.无害原则
D.公正原则
E.以上都不是
【思考过程】：本题考查医学伦理的四大基本原则，包括尊重自主权、不伤害原则、行善原则、公正原则。

【最终答案】：ABCD

题目：以下关于人类精子库的管理要求，哪项表述是正确的？
A.供精者档案可采用纸质形式存档并由专人保管
B.精子库需对供精者资料进行计算机管理但无需永久保存
C.保密义务仅针对供精者而不包括受精者
D.供精者档案必须经计算机管理并永久保存
E.保密义务允许在未经同意时向科研机构共享脱敏数据
【思考过程】：",D,DeepSeek-V3,"【思考过程】：本题考查人类精子库的管理要求。根据相关规定：1.供精者档案必须采用计算机管理并永久保存（A错误，D正确）；2.保密义务涵盖供精者和受精者双方信息（C错误）；3.未经允许不得向任何机构或个人披露信息，包括科研用途（E错误）；4.计算机管理是强制性要求（B错误）。

【最终答案】：D",客观题,D
辅助生殖,"你是一个严格按照要求答题的医学考试考生。请你先展示出完整的思考过程，然后再输出最终答案。每道题目有至少两个选项（A、B）至多五个选项（A、B、C、D、E），题目为不定项选择题，请按照以下格式作答：

【思考过程】：...

【最终答案】：AB / BCE / CD / DE / E / ...（只输出选项的编号，不要写选项内容）

示例：
题目：医疗伦理中四大基本原则是？
A.尊重自主权
B.善意行为
C.无害原则
D.公正原则
E.以上都不是
【思考过程】：本题考查医学伦理的四大基本原则，包括尊重自主权、不伤害原则、行善原则、公正原则。

【最终答案】：ABCD

题目：人类精子库的技术质量监测和检查报告应当向哪些部门备案？
A.市级卫生行政部门
B.省级卫生行政部门
C.卫生部
D.市级医疗监管局
E.国务院
【思考过程】：",BC,DeepSeek-V3,"【思考过程】：本题考查人类精子库的管理规定。根据《人类精子库管理办法》的相关规定，人类精子库的技术质量监测和检查报告应当向省级卫生行政部门和卫生部（现为国家卫生健康委员会）备案。市级卫生行政部门和市级医疗监管局通常不直接接收此类备案，国务院也不直接接收此类技术性备案。

【最终答案】：BC",客观题,BC
辅助生殖,"你是一个严格按照要求答题的医学考试考生。请你先展示出完整的思考过程，然后再输出最终答案。每道题目有至少两个选项（A、B）至多五个选项（A、B、C、D、E），题目为不定项选择题，请按照以下格式作答：

【思考过程】：...

【最终答案】：AB / BCE / CD / DE / E / ...（只输出选项的编号，不要写选项内容）

示例：
题目：医疗伦理中四大基本原则是？
A.尊重自主权
B.善意行为
C.无害原则
D.公正原则
E.以上都不是
【思考过程】：本题考查医学伦理的四大基本原则，包括尊重自主权、不伤害原则、行善原则、公正原则。

【最终答案】：ABCD

题目：为确保不发生同一供精者精液被滥用，监控机制设定的每位供精者的精液标本最多可导致几名妇女受孕？
A.3名
B.4名
C.5名
D.6名
E.8名
【思考过程】：",C,DeepSeek-V3,"【思考过程】：本题考查辅助生殖技术中供精者精液使用的伦理规范。根据我国《人类辅助生殖技术规范》规定，为防止同一供精者的精液被过度使用，每位供精者的精液标本最多只能使5名妇女受孕。这一规定旨在降低近亲婚配的风险并保护后代权益。

【最终答案】：C",客观题,C
辅助生殖,"你是一个严格按照要求答题的医学考试考生。请你先展示出完整的思考过程，然后再输出最终答案。每道题目有至少两个选项（A、B）至多五个选项（A、B、C、D、E），题目为不定项选择题，请按照以下格式作答：

【思考过程】：...

【最终答案】：AB / BCE / CD / DE / E / ...（只输出选项的编号，不要写选项内容）

示例：
题目：医疗伦理中四大基本原则是？
A.尊重自主权
B.善意行为
C.无害原则
D.公正原则
E.以上都不是
【思考过程】：本题考查医学伦理的四大基本原则，包括尊重自主权、不伤害原则、行善原则、公正原则。

【最终答案】：ABCD

题目：根据相关法规，精子库必须将供精者的以下哪些信息上报至中央信息库？
A.姓名
B.年龄
C.身份证号
D.生物学特性标志
E.职业
【思考过程】：",ABCD,DeepSeek-V3,"【思考过程】：本题考查精子库管理相关法规的要求。根据我国《人类辅助生殖技术管理办法》和《人类精子库管理办法》的规定，精子库必须上报供精者的生物学特性标志（如血型、身高、体重等）和身份证号（用于唯一标识和避免重复捐精）。但不会上报供精者的姓名（A选项）以保护隐私，年龄（B选项）和职业（E选项）不属于必须上报的核心信息。

【最终答案】：CD",客观题,CD
