scene,query,reference,model,response,type,answer_model
辅助生殖,"你是一个严格按照要求答题的医学考试考生。请你先展示出完整的思考过程，然后再输出最终答案。每道题目有至少两个选项（A、B）至多五个选项（A、B、C、D、E），题目为不定项选择题，请按照以下格式作答：

【思考过程】：...

【最终答案】：AB / BCE / CD / DE / E / ...（只输出选项的编号，不要写选项内容）

示例：
题目：医疗伦理中四大基本原则是？
A.尊重自主权
B.善意行为
C.无害原则
D.公正原则
E.以上都不是
【思考过程】：本题考查医学伦理的四大基本原则，包括尊重自主权、不伤害原则、行善原则、公正原则。

【最终答案】：ABCD

题目：在辅助生殖技术应用场景中，以下哪些行为明确违反了我国相关法规？
A.从商业机构购买人体卵细胞用于科研项目
B.向捐赠者支付高额补偿金以获取卵巢组织
C.中介机构通过收取佣金为需求方匹配卵子提供者
D.公民自愿签署协议无偿捐献遗体
E.医生建议患者向供者支付“营养费”获取精细胞
【思考过程】：",ABCE,DeepSeek-R1,"### 思考过程：
本题考查中国辅助生殖技术相关法规的遵守情况。根据《人类辅助生殖技术管理办法》（2001年）、《人类精子库管理办法》（2001年）以及《卫生部关于修订人类辅助生殖技术与人类精子库相关技术规范、基本标准和伦理原则的通知》（2003年）等规定，中国严格禁止辅助生殖技术的商业化运作，强调捐赠必须自愿、无偿，并禁止买卖生殖细胞、支付高额补偿、中介佣金以及变相支付报酬等行为。具体分析每个选项：

- **A. 从商业机构购买人体卵细胞用于科研项目**：中国法规禁止任何形式的生殖细胞买卖，包括卵细胞。科研项目也需遵守此规定，购买行为违反《人类辅助生殖技术管理办法》第七条，该条明确禁止“以营利为目的的精子、卵子买卖”。因此，此行为违法。
  
- **B. 向捐赠者支付高额补偿金以获取卵巢组织**：法规要求捐赠必须无偿，补偿仅限于合理必要的费用（如交通、误工损失），且不能高额。《人类辅助生殖技术管理办法》第十四条强调捐赠应“自愿、无偿”，支付高额补偿金构成变相买卖，违反无偿原则。因此，此行为违法。

- **C. 中介机构通过收取佣金为需求方匹配卵子提供者**：中国禁止任何营利性中介参与辅助生殖技术。《人类辅助生殖技术管理办法》第三条和第十五条规定，辅助生殖服务必须由正规医疗机构提供，中介机构收取佣金属于商业化运作，违反禁止性规定。因此，此行为违法。

- **D. 公民自愿签署协议无偿捐献遗体**：遗体捐赠受《人体器官移植条例》和《遗体捐献条例》管理，与辅助生殖技术无直接关联。辅助生殖技术涉及活体生殖细胞（如精子、卵子），而遗体捐赠用于医学研究或教育，不涉及辅助生殖场景。此行为自愿、无偿，不违反辅助生殖相关法规。因此，此行为不违法。

- **E. 医生建议患者向供者支付“营养费”获取精细胞**：支付“营养费”属于变相报酬，违反无偿捐赠原则。《人类精子库管理办法》第十一条规定，捐赠者只能获得必要补偿，不得有报酬性质。医生建议此类支付，诱导变相买卖，违反法规。因此，此行为违法。

综上，明确违反我国辅助生殖技术相关法规的选项是A、B、C、E。

### 最终答案：
ABCE",客观题,ABCE
辅助生殖,"你是一个严格按照要求答题的医学考试考生。请你先展示出完整的思考过程，然后再输出最终答案。每道题目有至少两个选项（A、B）至多五个选项（A、B、C、D、E），题目为不定项选择题，请按照以下格式作答：

【思考过程】：...

【最终答案】：AB / BCE / CD / DE / E / ...（只输出选项的编号，不要写选项内容）

示例：
题目：医疗伦理中四大基本原则是？
A.尊重自主权
B.善意行为
C.无害原则
D.公正原则
E.以上都不是
【思考过程】：本题考查医学伦理的四大基本原则，包括尊重自主权、不伤害原则、行善原则、公正原则。

【最终答案】：ABCD

题目：以下哪些行为被我国现行法律法规明确禁止？
A.通过中介机构购买捐赠者的冷冻胚胎
B.医疗机构为未婚女性实施人工授精
C.医务人员指导亲属间胚胎转移
D.非营利性代孕咨询机构实施代孕技术
E.科研机构将多余合子用于遗传学研究
【思考过程】：",ABCD,DeepSeek-R1,"### 思考过程
本题考查中国现行法律法规中关于辅助生殖技术、胚胎处理及代孕等相关禁止性规定。核心依据包括《人类辅助生殖技术管理办法》（2001年颁布，2003年修订）、《人类精子库管理办法》（2001年），以及卫生部（现卫健委）发布的伦理准则。以下逐项分析：

- **A. 通过中介机构购买捐赠者的冷冻胚胎**：  
  根据《人类辅助生殖技术管理办法》第三条规定，禁止以任何形式买卖配子、合子、胚胎。胚胎捐赠必须通过合法的医疗机构进行，且不得涉及商业化交易。通过中介机构购买胚胎属于买卖行为，因此被明确禁止。

- **B. 医疗机构为未婚女性实施人工授精**：  
  《人类辅助生殖技术管理办法》第三条及相关配套规定（如《人类辅助生殖技术和人类精子库伦理原则》）明确指出，辅助生殖技术仅适用于已婚夫妇。为未婚女性实施人工授精违反此原则，属于被禁止行为。实践中，医疗机构需查验结婚证明。

- **C. 医务人员指导亲属间胚胎转移**：  
  胚胎转移通常涉及代孕安排。根据《人类辅助生殖技术管理办法》第三条规定，医疗机构和医务人员不得实施任何形式的代孕技术。亲属间胚胎转移可能被视为变相代孕，因此被禁止。该规定未区分亲属与非亲属关系，一概禁止。

- **D. 非营利性代孕咨询机构实施代孕技术**：  
  《人类辅助生殖技术管理办法》第三条明确禁止任何形式的代孕技术实施，无论机构性质是否营利。非营利性机构从事代孕技术同样违法，法律未对机构性质设置例外。

- **E. 科研机构将多余合子用于遗传学研究**：  
  根据《人类辅助生殖技术管理办法》第二十二条及相关伦理准则（如《人类辅助生殖技术和人类精子库伦理原则》），多余合子（受精卵）可用于科研，但需满足条件：捐赠者知情同意、经过伦理委员会审查批准，且研究不得用于非医学目的。此行为未被禁止，而是有条件的合法行为。

综上，被我国现行法律法规明确禁止的行为为A、B、C、D。E未被禁止，因在规范下允许。

### 最终答案
ABCD",客观题,ABCD
辅助生殖,"你是一个严格按照要求答题的医学考试考生。请你先展示出完整的思考过程，然后再输出最终答案。每道题目有至少两个选项（A、B）至多五个选项（A、B、C、D、E），题目为不定项选择题，请按照以下格式作答：

【思考过程】：...

【最终答案】：AB / BCE / CD / DE / E / ...（只输出选项的编号，不要写选项内容）

示例：
题目：医疗伦理中四大基本原则是？
A.尊重自主权
B.善意行为
C.无害原则
D.公正原则
E.以上都不是
【思考过程】：本题考查医学伦理的四大基本原则，包括尊重自主权、不伤害原则、行善原则、公正原则。

【最终答案】：ABCD

题目：以下关于实施人类辅助生殖技术的医疗行为的描述，哪项符合相关规定？
A.医生口头告知患者手术风险后直接实施手术，未签署知情同意书
B.发现技术应用涉及伦理争议时，提交医学伦理委员会讨论并备案
C.患者自愿放弃签署知情同意书，医生尊重其意愿继续操作
D.存在潜在伦理风险但未影响治疗流程，无需额外讨论
【思考过程】：",B,DeepSeek-R1,"### 【思考过程】：
本题考查人类辅助生殖技术（ART）的相关规定，主要依据《人类辅助生殖技术管理办法》及医学伦理规范。关键点包括：
1. **知情同意原则**：必须获得患者书面知情同意书，口头告知无效，且患者不能放弃签署过程。
2. **伦理争议处理**：涉及伦理争议时，必须提交医学伦理委员会讨论并备案。
3. **伦理风险审查**：即使潜在伦理风险不影响治疗，也需提交伦理委员会讨论，不能忽视。

- **选项A**：医生仅口头告知风险，未签署知情同意书。这违反了知情同意原则（必须书面签署），不符合规定。
- **选项B**：发现伦理争议时提交医学伦理委员会讨论并备案。这符合《人类辅助生殖技术管理办法》要求，处理伦理争议的必经程序，符合规定。
- **选项C**：患者自愿放弃签署知情同意书，医生继续操作。知情同意是强制性过程，患者不能放弃签署，医生必须确保签署后才能进行，否则违规，不符合规定。
- **选项D**：存在潜在伦理风险但未影响治疗流程，无需额外讨论。相关规定要求所有潜在伦理风险都必须提交伦理委员会审查，不能因不影响治疗而豁免，不符合规定。

综上，仅选项B的描述符合相关规定。

### 【最终答案】：B",客观题,B
辅助生殖,"你是一个严格按照要求答题的医学考试考生。请你先展示出完整的思考过程，然后再输出最终答案。每道题目有至少两个选项（A、B）至多五个选项（A、B、C、D、E），题目为不定项选择题，请按照以下格式作答：

【思考过程】：...

【最终答案】：AB / BCE / CD / DE / E / ...（只输出选项的编号，不要写选项内容）

示例：
题目：医疗伦理中四大基本原则是？
A.尊重自主权
B.善意行为
C.无害原则
D.公正原则
E.以上都不是
【思考过程】：本题考查医学伦理的四大基本原则，包括尊重自主权、不伤害原则、行善原则、公正原则。

【最终答案】：ABCD

题目：根据我国辅助生殖技术管理规定，实施供精人工授精的医疗机构应如何处理供精源？
A.与卫生部批准的人类精子库签订供精协议
B.在实验室紧急缺精时少量自行采集
C.使用国内外科研机构认证的冷冻精子标本
D.直接从志愿者处采集并支付合理营养费
【思考过程】：",A,DeepSeek-R1,"### 思考过程
本题涉及我国辅助生殖技术管理规定中，实施供精人工授精的医疗机构如何处理供精源的问题。根据中国《人类辅助生殖技术管理办法》（2001年卫生部令第14号）和《人类精子库管理办法》（2001年卫生部令第15号）的相关规定：
- 医疗机构实施供精人工授精时，必须使用卫生部（现国家卫生健康委员会）批准的人类精子库提供的精子，且需与精子库签订正式的供精协议（依据《人类辅助生殖技术管理办法》第14条）。
- 严禁医疗机构私自采集精液、使用未经批准的精子来源，或在任何情况下（包括紧急缺精）自行采集，以防止伦理问题、健康风险和违法违规行为（依据《人类辅助生殖技术管理办法》第3条、第15条及《人类精子库管理办法》第2条）。

具体分析选项：
- **A. 与卫生部批准的人类精子库签订供精协议**：符合上述规定，是唯一合法方式。
- **B. 在实验室紧急缺精时少量自行采集**：违反规定，任何情况下禁止自行采集。
- **C. 使用国内外科研机构认证的冷冻精子标本**：科研机构认证不代表卫生部批准，精子必须来自指定精子库，该选项不合法。
- **D. 直接从志愿者处采集并支付合理营养费**：属于私自采精，违反禁止买卖或变相买卖精子的规定。

综上，只有选项A符合我国法律规定，其他选项均不被允许。

### 最终答案
A",客观题,A
辅助生殖,"你是一个严格按照要求答题的医学考试考生。请你先展示出完整的思考过程，然后再输出最终答案。每道题目有至少两个选项（A、B）至多五个选项（A、B、C、D、E），题目为不定项选择题，请按照以下格式作答：

【思考过程】：...

【最终答案】：AB / BCE / CD / DE / E / ...（只输出选项的编号，不要写选项内容）

示例：
题目：医疗伦理中四大基本原则是？
A.尊重自主权
B.善意行为
C.无害原则
D.公正原则
E.以上都不是
【思考过程】：本题考查医学伦理的四大基本原则，包括尊重自主权、不伤害原则、行善原则、公正原则。

【最终答案】：ABCD

题目：以下表述是否正确：实施人类辅助生殖技术的医疗机构在任何情况下都不得进行性别选择。
A.正确
B.错误
【思考过程】：",B,DeepSeek-R1,"【思考过程】：本题考查人类辅助生殖技术（ART）中性别选择的相关规定。根据医学伦理和国际国内法规（如世界卫生组织指南和中国《人类辅助生殖技术管理办法》），性别选择通常被严格禁止，但存在例外情况。具体来说：
- 非医学原因的性别选择（如社会偏好）是被禁止的，因为它可能导致性别比例失衡和伦理问题。
- 然而，在医学指征下（如为避免严重的性别相关遗传疾病，例如血友病或杜氏肌营养不良症），性别选择是允许的，并有严格的审批程序。
题目表述为“在任何情况下都不得进行性别选择”，这忽略了医学例外情况，因此该表述不正确。

【最终答案】：B",客观题,B
辅助生殖,"你是一个严格按照要求答题的医学考试考生。请你先展示出完整的思考过程，然后再输出最终答案。每道题目有至少两个选项（A、B）至多五个选项（A、B、C、D、E），题目为不定项选择题，请按照以下格式作答：

【思考过程】：...

【最终答案】：AB / BCE / CD / DE / E / ...（只输出选项的编号，不要写选项内容）

示例：
题目：医疗伦理中四大基本原则是？
A.尊重自主权
B.善意行为
C.无害原则
D.公正原则
E.以上都不是
【思考过程】：本题考查医学伦理的四大基本原则，包括尊重自主权、不伤害原则、行善原则、公正原则。

【最终答案】：ABCD

题目：一个供精者的精子最多只能提供给多少名妇女受孕？
A.3名
B.4名
C.5名
D.8名
E.10名
【思考过程】：",C,DeepSeek-R1,"【思考过程】：本题考查辅助生殖技术中关于供精者精子使用的伦理规定。根据国际医学伦理和中国相关法规（如《人类精子库管理办法》），一个供精者的精子被限制用于一定数量的妇女受孕，以降低近亲繁殖和遗传疾病传播的风险。中国标准明确规定，一个供精者的精液最多只能使5名妇女受孕。其他选项如3名、4名、8名或10名不符合当前主流指南（中国标准为5名，国际标准如WHO建议类似范围）。因此，正确答案是选项C。

【最终答案】：C",客观题,C
辅助生殖,"你是一个严格按照要求答题的医学考试考生。请你先展示出完整的思考过程，然后再输出最终答案。每道题目有至少两个选项（A、B）至多五个选项（A、B、C、D、E），题目为不定项选择题，请按照以下格式作答：

【思考过程】：...

【最终答案】：AB / BCE / CD / DE / E / ...（只输出选项的编号，不要写选项内容）

示例：
题目：医疗伦理中四大基本原则是？
A.尊重自主权
B.善意行为
C.无害原则
D.公正原则
E.以上都不是
【思考过程】：本题考查医学伦理的四大基本原则，包括尊重自主权、不伤害原则、行善原则、公正原则。

【最终答案】：ABCD

题目：以下关于人类精子库的管理要求，哪项表述是正确的？
A.供精者档案可采用纸质形式存档并由专人保管
B.精子库需对供精者资料进行计算机管理但无需永久保存
C.保密义务仅针对供精者而不包括受精者
D.供精者档案必须经计算机管理并永久保存
E.保密义务允许在未经同意时向科研机构共享脱敏数据
【思考过程】：",D,DeepSeek-R1,"### 【思考过程】：
题目要求判断关于人类精子库管理要求的正确表述。根据中国《人类精子库管理办法》及相关规范（如《人类辅助生殖技术规范》），关键管理要求包括供精者档案的管理方式、保密义务范围和数据共享原则。以下是逐一分析各选项：

- **选项A**：供精者档案可采用纸质形式存档并由专人保管。  
  根据《人类精子库管理办法》第十三条，人类精子库应当对供精者档案实行计算机管理，确保信息可追溯和永久保存。纸质形式虽可能作为辅助，但非主要或推荐方式；规范强调计算机管理的必要性，因此该表述不正确。

- **选项B**：精子库需对供精者资料进行计算机管理但无需永久保存。  
  依据《人类精子库管理办法》第十三条，供精者档案必须永久保存，以保障长期可追溯性和医学监督。计算机管理是要求，但“无需永久保存”错误，因为永久保存是强制规定。

- **选项C**：保密义务仅针对供精者而不包括受精者。  
  《人类精子库管理办法》第十八条明确规定，精子库及其工作人员必须为供精者、受精者及其后代保密。保密义务覆盖所有相关方，包括受精者，因此该表述错误。

- **选项D**：供精者档案必须经计算机管理并永久保存。  
  根据《人类精子库管理办法》第十三条，人类精子库应当建立供精者档案，并实行计算机管理，同时永久保存。该表述直接符合法规要求，正确。

- **选项E**：保密义务允许在未经同意时向科研机构共享脱敏数据。  
  依据《人类精子库管理办法》第二十二条及《涉及人的生物医学研究伦理审查办法》，用于科学研究时，即使数据脱敏，也需经伦理委员会审查批准，并确保不泄露隐私。未经当事人同意或伦理豁免，不得随意共享。该表述中的“允许在未经同意时”违反保密原则，错误。

综上，唯一正确表述是选项D。

### 【最终答案】：D",客观题,D
辅助生殖,"你是一个严格按照要求答题的医学考试考生。请你先展示出完整的思考过程，然后再输出最终答案。每道题目有至少两个选项（A、B）至多五个选项（A、B、C、D、E），题目为不定项选择题，请按照以下格式作答：

【思考过程】：...

【最终答案】：AB / BCE / CD / DE / E / ...（只输出选项的编号，不要写选项内容）

示例：
题目：医疗伦理中四大基本原则是？
A.尊重自主权
B.善意行为
C.无害原则
D.公正原则
E.以上都不是
【思考过程】：本题考查医学伦理的四大基本原则，包括尊重自主权、不伤害原则、行善原则、公正原则。

【最终答案】：ABCD

题目：人类精子库的技术质量监测和检查报告应当向哪些部门备案？
A.市级卫生行政部门
B.省级卫生行政部门
C.卫生部
D.市级医疗监管局
E.国务院
【思考过程】：",BC,DeepSeek-R1,"### 思考过程：
题目要求确定人类精子库的技术质量监测和检查报告应当向哪些部门备案。根据中国相关法律法规，具体参考《人类精子库管理办法》（2001年颁布，现行有效）的规定：
- **《人类精子库管理办法》第十五条**：人类精子库应当定期向所在地省级人民政府卫生行政部门报告工作。
- **《人类精子库管理办法》第二十条**：人类精子库应当定期将精液标本送交国家指定的机构进行质量监测，并将监测结果报省级人民政府卫生行政部门备案。

这些条款明确规定了技术质量监测和检查报告的备案部门是省级卫生行政部门。其他选项的分析如下：
- **A. 市级卫生行政部门**：法规中未提及向市级部门备案，市级卫生行政部门主要负责本行政区域的日常监督管理，但备案义务直接指向省级。
- **B. 省级卫生行政部门**：符合上述法规要求，是唯一指定的备案部门。
- **C. 卫生部**（现为国家卫生健康委员会）：卫生部主管全国人类精子库的监督管理工作（依据《人类精子库管理办法》第五条），但日常监测报告的直接备案部门是省级，而非卫生部本身。省级卫生行政部门可能需要向上级报告，但备案主体不是卫生部。
- **D. 市级医疗监管局**：该名称不标准，中国卫生监管体系主要由卫生行政部门负责，且法规未提及“医疗监管局”作为备案部门。
- **E. 国务院**：作为最高行政机关，不直接处理此类技术备案事务，法规无相关依据。

因此，只有选项B（省级卫生行政部门）符合规定。题目虽为不定项选择题，但根据法规，仅有一个正确选项。

### 最终答案：
B",客观题,B
辅助生殖,"你是一个严格按照要求答题的医学考试考生。请你先展示出完整的思考过程，然后再输出最终答案。每道题目有至少两个选项（A、B）至多五个选项（A、B、C、D、E），题目为不定项选择题，请按照以下格式作答：

【思考过程】：...

【最终答案】：AB / BCE / CD / DE / E / ...（只输出选项的编号，不要写选项内容）

示例：
题目：医疗伦理中四大基本原则是？
A.尊重自主权
B.善意行为
C.无害原则
D.公正原则
E.以上都不是
【思考过程】：本题考查医学伦理的四大基本原则，包括尊重自主权、不伤害原则、行善原则、公正原则。

【最终答案】：ABCD

题目：为确保不发生同一供精者精液被滥用，监控机制设定的每位供精者的精液标本最多可导致几名妇女受孕？
A.3名
B.4名
C.5名
D.6名
E.8名
【思考过程】：",C,DeepSeek-R1,"### 思考过程：
本题考查辅助生殖技术中精子捐赠的伦理管理规范，特别是防止同一供精者精液被滥用而设定的妇女受孕人数上限。相关知识点来自医学伦理和生殖医学指南，主要依据中国《人类精子库管理办法》及《人类辅助生殖技术规范》。

- 在辅助生殖领域，限制同一供精者的精液使用次数是为了降低遗传性疾病传播、后代近亲结婚风险，以及维护伦理安全。
- 根据中国卫生部门的规定（如《人类精子库技术规范》），同一供精者的精液标本最多只能使5名妇女受孕。这是中国国家标准，旨在严格控制滥用。
- 国际标准（如世界卫生组织或美国生殖医学学会指南）虽存在差异（例如美国建议10-15个家庭，但基于家庭单位而非单纯妇女受孕数），但题目未指定国家，且以中文呈现，应优先采用中国医学考试常见标准。
- 选项分析：A.3名（过低，不符合实际规定）、B.4名（同样不足）、C.5名（匹配标准）、D.6名（超出上限）、E.8名（显著超出，易导致滥用风险）。
- 因此，正确答案为C.5名，对应监控机制设定的上限。

### 最终答案：
C",客观题,C
辅助生殖,"你是一个严格按照要求答题的医学考试考生。请你先展示出完整的思考过程，然后再输出最终答案。每道题目有至少两个选项（A、B）至多五个选项（A、B、C、D、E），题目为不定项选择题，请按照以下格式作答：

【思考过程】：...

【最终答案】：AB / BCE / CD / DE / E / ...（只输出选项的编号，不要写选项内容）

示例：
题目：医疗伦理中四大基本原则是？
A.尊重自主权
B.善意行为
C.无害原则
D.公正原则
E.以上都不是
【思考过程】：本题考查医学伦理的四大基本原则，包括尊重自主权、不伤害原则、行善原则、公正原则。

【最终答案】：ABCD

题目：根据相关法规，精子库必须将供精者的以下哪些信息上报至中央信息库？
A.姓名
B.年龄
C.身份证号
D.生物学特性标志
E.职业
【思考过程】：",ABCD,DeepSeek-R1,"### 思考过程：
本题考查精子库管理相关法规，具体涉及供精者信息上报中央信息库的要求。根据中国《人类精子库管理办法》及《人类辅助生殖技术管理办法》的相关规定，精子库在收集供精者信息时，必须保护供精者隐私，同时上报关键信息至中央信息库，以防止近亲繁殖和遗传疾病传播。分析各选项：

- **A. 姓名**：属于直接个人身份信息，法规要求严格保密，不得上报中央信息库，以避免隐私泄露。
- **B. 年龄**：属于生物学特征的一部分，法规要求上报，用于评估遗传风险、匹配及后续管理（如避免年龄相关健康问题）。
- **C. 身份证号**：属于敏感个人身份信息，法规明确规定不得上报中央信息库，仅用于精子库内部登记和核实。
- **D. 生物学特性标志**：包括血型、HLA分型、身高等生物学特征，是上报的核心内容，用于遗传匹配和避免近亲繁殖。
- **E. 职业**：与遗传风险或匹配无关，法规未要求上报，不属于必需信息。

综上，必须上报的信息包括年龄（选项B）和生物学特性标志（选项D），而其他选项均不符合法规要求。

### 最终答案：
BD",客观题,BD
