scene,query,reference,model,response,type,answer_model
辅助生殖,"你是一个严格按照要求答题的医学考试考生。请你先展示出完整的思考过程，然后再输出最终答案。每道题目有至少两个选项（A、B）至多五个选项（A、B、C、D、E），题目为不定项选择题，请按照以下格式作答：

【思考过程】：...

【最终答案】：AB / BCE / CD / DE / E / ...（只输出选项的编号，不要写选项内容）

示例：
题目：医疗伦理中四大基本原则是？
A.尊重自主权
B.善意行为
C.无害原则
D.公正原则
E.以上都不是
【思考过程】：本题考查医学伦理的四大基本原则，包括尊重自主权、不伤害原则、行善原则、公正原则。

【最终答案】：ABCD

题目：在辅助生殖技术应用场景中，以下哪些行为明确违反了我国相关法规？
A.从商业机构购买人体卵细胞用于科研项目
B.向捐赠者支付高额补偿金以获取卵巢组织
C.中介机构通过收取佣金为需求方匹配卵子提供者
D.公民自愿签署协议无偿捐献遗体
E.医生建议患者向供者支付“营养费”获取精细胞
【思考过程】：
",ABCE,Gemini-3.0,"【思考过程】：本题考查我国辅助生殖技术管理规范及相关法律法规。依据《人类辅助生殖技术管理办法》及民法典相关规定，核心原则是严禁以任何形式买卖配子、合子、胚胎。选项A、B、C、E均涉及配子或人体组织的商业交易、高额有偿转让或违规中介行为，属于明确禁止的违法违规行为。选项D属于公民合法行使对自己身体的处分权，符合法律规定。

【最终答案】：ABCE",客观题,ABCE
辅助生殖,"你是一个严格按照要求答题的医学考试考生。请你先展示出完整的思考过程，然后再输出最终答案。每道题目有至少两个选项（A、B）至多五个选项（A、B、C、D、E），题目为不定项选择题，请按照以下格式作答：

【思考过程】：...

【最终答案】：AB / BCE / CD / DE / E / ...（只输出选项的编号，不要写选项内容）

示例：
题目：医疗伦理中四大基本原则是？
A.尊重自主权
B.善意行为
C.无害原则
D.公正原则
E.以上都不是
【思考过程】：本题考查医学伦理的四大基本原则，包括尊重自主权、不伤害原则、行善原则、公正原则。

【最终答案】：ABCD

题目：以下哪些行为被我国现行法律法规明确禁止？
A.通过中介机构购买捐赠者的冷冻胚胎
B.医疗机构为未婚女性实施人工授精
C.医务人员指导亲属间胚胎转移
D.非营利性代孕咨询机构实施代孕技术
E.科研机构将多余合子用于遗传学研究
【思考过程】：
",ABCD,Gemini-3.0,"【思考过程】：本题考查我国关于人类辅助生殖技术的相关法律法规及伦理规范。依据原卫生部发布的《人类辅助生殖技术管理办法》及《人类辅助生殖技术伦理原则》，我国明确禁止买卖配子、合子和胚胎（A）；禁止向单身妇女提供辅助生殖技术服务（B）；严禁医疗机构及人员以任何形式实施代孕技术（D）。选项C属于变相代孕或违规操作，亦在禁止之列。选项E在符合严格伦理规范（如“14天准则”）和知情同意的前提下是允许开展科学研究的。

【最终答案】：ABCD",客观题,ABCD
辅助生殖,"你是一个严格按照要求答题的医学考试考生。请你先展示出完整的思考过程，然后再输出最终答案。每道题目有至少两个选项（A、B）至多五个选项（A、B、C、D、E），题目为不定项选择题，请按照以下格式作答：

【思考过程】：...

【最终答案】：AB / BCE / CD / DE / E / ...（只输出选项的编号，不要写选项内容）

示例：
题目：医疗伦理中四大基本原则是？
A.尊重自主权
B.善意行为
C.无害原则
D.公正原则
E.以上都不是
【思考过程】：本题考查医学伦理的四大基本原则，包括尊重自主权、不伤害原则、行善原则、公正原则。

【最终答案】：ABCD

题目：以下关于实施人类辅助生殖技术的医疗行为的描述，哪项符合相关规定？
A.医生口头告知患者手术风险后直接实施手术，未签署知情同意书
B.发现技术应用涉及伦理争议时，提交医学伦理委员会讨论并备案
C.患者自愿放弃签署知情同意书，医生尊重其意愿继续操作
D.存在潜在伦理风险但未影响治疗流程，无需额外讨论
【思考过程】：
",B,Gemini-3.0,"【思考过程】：本题考查人类辅助生殖技术的伦理规范与法律规定。实施此类技术必须签署书面知情同意书，不能仅凭口头告知或患者放弃签署而免除（排除A、C）。对于涉及伦理争议的情况，必须提交医学伦理委员会审查（选B），即使未直接影响治疗流程，潜在伦理风险也需讨论（排除D）。

【最终答案】：B",客观题,B
辅助生殖,"你是一个严格按照要求答题的医学考试考生。请你先展示出完整的思考过程，然后再输出最终答案。每道题目有至少两个选项（A、B）至多五个选项（A、B、C、D、E），题目为不定项选择题，请按照以下格式作答：

【思考过程】：...

【最终答案】：AB / BCE / CD / DE / E / ...（只输出选项的编号，不要写选项内容）

示例：
题目：医疗伦理中四大基本原则是？
A.尊重自主权
B.善意行为
C.无害原则
D.公正原则
E.以上都不是
【思考过程】：本题考查医学伦理的四大基本原则，包括尊重自主权、不伤害原则、行善原则、公正原则。

【最终答案】：ABCD

题目：根据我国辅助生殖技术管理规定，实施供精人工授精的医疗机构应如何处理供精源？
A.与卫生部批准的人类精子库签订供精协议
B.在实验室紧急缺精时少量自行采集
C.使用国内外科研机构认证的冷冻精子标本
D.直接从志愿者处采集并支付合理营养费
【思考过程】：
",A,Gemini-3.0,"【思考过程】：本题考查我国关于人类辅助生殖技术及精子库管理的相关法律法规。根据卫生部（现卫健委）发布的《人类辅助生殖技术管理办法》和《人类精子库管理办法》，实施供精人工授精的医疗机构必须使用由卫生行政部门批准的人类精子库提供的精源，并与其签订供精协议。严禁医疗机构私自采集精子、使用科研机构标本或直接从志愿者处采集。

【最终答案】：A",客观题,A
辅助生殖,"你是一个严格按照要求答题的医学考试考生。请你先展示出完整的思考过程，然后再输出最终答案。每道题目有至少两个选项（A、B）至多五个选项（A、B、C、D、E），题目为不定项选择题，请按照以下格式作答：

【思考过程】：...

【最终答案】：AB / BCE / CD / DE / E / ...（只输出选项的编号，不要写选项内容）

示例：
题目：医疗伦理中四大基本原则是？
A.尊重自主权
B.善意行为
C.无害原则
D.公正原则
E.以上都不是
【思考过程】：本题考查医学伦理的四大基本原则，包括尊重自主权、不伤害原则、行善原则、公正原则。

【最终答案】：ABCD

题目：以下表述是否正确：实施人类辅助生殖技术的医疗机构在任何情况下都不得进行性别选择。
A.正确
B.错误
【思考过程】：
",B,Gemini-3.0,"【思考过程】：本题考查人类辅助生殖技术相关的法律法规与伦理规范。根据相关规定，严禁进行非医学需要的性别选择，但在具有医学指征（如伴性遗传病）的情况下，是允许进行性别选择的。因此，题目中表述的“在任何情况下”过于绝对，不符合规定。

【最终答案】：B",客观题,B
辅助生殖,"你是一个严格按照要求答题的医学考试考生。请你先展示出完整的思考过程，然后再输出最终答案。每道题目有至少两个选项（A、B）至多五个选项（A、B、C、D、E），题目为不定项选择题，请按照以下格式作答：

【思考过程】：...

【最终答案】：AB / BCE / CD / DE / E / ...（只输出选项的编号，不要写选项内容）

示例：
题目：医疗伦理中四大基本原则是？
A.尊重自主权
B.善意行为
C.无害原则
D.公正原则
E.以上都不是
【思考过程】：本题考查医学伦理的四大基本原则，包括尊重自主权、不伤害原则、行善原则、公正原则。

【最终答案】：ABCD

题目：一个供精者的精子最多只能提供给多少名妇女受孕？
A.3名
B.4名
C.5名
D.8名
E.10名
【思考过程】：
",C,Gemini-3.0,"【思考过程】：本题考查我国关于人类辅助生殖技术及人类精子库管理的规定。根据《人类辅助生殖技术规范》等相关法规，为了降低后代近亲结婚的概率，严格限制了一名供精者的精子所能供给受孕的妇女数量，该数量上限规定为5名。

【最终答案】：C",客观题,C
辅助生殖,"你是一个严格按照要求答题的医学考试考生。请你先展示出完整的思考过程，然后再输出最终答案。每道题目有至少两个选项（A、B）至多五个选项（A、B、C、D、E），题目为不定项选择题，请按照以下格式作答：

【思考过程】：...

【最终答案】：AB / BCE / CD / DE / E / ...（只输出选项的编号，不要写选项内容）

示例：
题目：医疗伦理中四大基本原则是？
A.尊重自主权
B.善意行为
C.无害原则
D.公正原则
E.以上都不是
【思考过程】：本题考查医学伦理的四大基本原则，包括尊重自主权、不伤害原则、行善原则、公正原则。

【最终答案】：ABCD

题目：以下关于人类精子库的管理要求，哪项表述是正确的？
A.供精者档案可采用纸质形式存档并由专人保管
B.精子库需对供精者资料进行计算机管理但无需永久保存
C.保密义务仅针对供精者而不包括受精者
D.供精者档案必须经计算机管理并永久保存
E.保密义务允许在未经同意时向科研机构共享脱敏数据
【思考过程】：
",D,Gemini-3.0,"【思考过程】：本题主要考查人类精子库的技术规范与伦理管理原则。根据卫生部颁布的《人类精子库技术规范》及相关伦理原则，为了保障受精者及其后代的权益，防止近亲结婚并确保可追溯性，精子库必须对供精者的档案实行严格的计算机管理，并且这些资料必须永久保存。A选项纸质存档、B选项无需永久保存均不符合追溯要求；C选项保密原则同时适用于供精者和受精者（双盲原则）；E选项违反了知情同意和隐私保护原则。因此，只有D选项符合规范。

【最终答案】：D",客观题,D
辅助生殖,"你是一个严格按照要求答题的医学考试考生。请你先展示出完整的思考过程，然后再输出最终答案。每道题目有至少两个选项（A、B）至多五个选项（A、B、C、D、E），题目为不定项选择题，请按照以下格式作答：

【思考过程】：...

【最终答案】：AB / BCE / CD / DE / E / ...（只输出选项的编号，不要写选项内容）

示例：
题目：医疗伦理中四大基本原则是？
A.尊重自主权
B.善意行为
C.无害原则
D.公正原则
E.以上都不是
【思考过程】：本题考查医学伦理的四大基本原则，包括尊重自主权、不伤害原则、行善原则、公正原则。

【最终答案】：ABCD

题目：人类精子库的技术质量监测和检查报告应当向哪些部门备案？
A.市级卫生行政部门
B.省级卫生行政部门
C.卫生部
D.市级医疗监管局
E.国务院
【思考过程】：
",BC,Gemini-3.0,"【思考过程】：本题主要考查《人类精子库管理办法》及相关技术规范中关于监督管理的规定。人类精子库属于严格管理的医疗机构，其技术质量监测和检查报告涉及公共卫生安全与伦理，依据法规，此类报告应当向所在的省级卫生行政部门备案，同时也需上报至卫生部（现国家卫健委）备案。

【最终答案】：BC",客观题,BC
辅助生殖,"你是一个严格按照要求答题的医学考试考生。请你先展示出完整的思考过程，然后再输出最终答案。每道题目有至少两个选项（A、B）至多五个选项（A、B、C、D、E），题目为不定项选择题，请按照以下格式作答：

【思考过程】：...

【最终答案】：AB / BCE / CD / DE / E / ...（只输出选项的编号，不要写选项内容）

示例：
题目：医疗伦理中四大基本原则是？
A.尊重自主权
B.善意行为
C.无害原则
D.公正原则
E.以上都不是
【思考过程】：本题考查医学伦理的四大基本原则，包括尊重自主权、不伤害原则、行善原则、公正原则。

【最终答案】：ABCD

题目：为确保不发生同一供精者精液被滥用，监控机制设定的每位供精者的精液标本最多可导致几名妇女受孕？
A.3名
B.4名
C.5名
D.6名
E.8名
【思考过程】：
",C,Gemini-3.0,"【思考过程】：本题主要考查《人类精子库技术规范》中关于防止供精者精液滥用及控制近亲结婚风险的相关规定。根据我国卫生部颁布的现行规范，为了确保子代安全，每一位供精者的精液标本最多只能使5名妇女受孕。一旦达到该限制，该供精者的精液将被销毁或封存，不得再提供给其他妇女使用。

【最终答案】：C",客观题,C
辅助生殖,"你是一个严格按照要求答题的医学考试考生。请你先展示出完整的思考过程，然后再输出最终答案。每道题目有至少两个选项（A、B）至多五个选项（A、B、C、D、E），题目为不定项选择题，请按照以下格式作答：

【思考过程】：...

【最终答案】：AB / BCE / CD / DE / E / ...（只输出选项的编号，不要写选项内容）

示例：
题目：医疗伦理中四大基本原则是？
A.尊重自主权
B.善意行为
C.无害原则
D.公正原则
E.以上都不是
【思考过程】：本题考查医学伦理的四大基本原则，包括尊重自主权、不伤害原则、行善原则、公正原则。

【最终答案】：ABCD

题目：根据相关法规，精子库必须将供精者的以下哪些信息上报至中央信息库？
A.姓名
B.年龄
C.身份证号
D.生物学特性标志
E.职业
【思考过程】：
",ABCD,Gemini-3.0,"【思考过程】：本题主要考查《人类精子库基本标准》及《人类精子库技术规范》中关于供精者信息管理和查重机制的规定。为了有效防止供精者在多个精子库重复捐精，相关法规要求精子库必须将能够唯一标识供精者身份的法定信息（如姓名、身份证号）以及用于身份核验的生物学特征信息上报至管理系统。

【最终答案】：ACD",客观题,ACD
