dataset,scene,released_sample_count
objective,辅助生殖,10
objective,医患关系,10
objective,动物实验,10
objective,常规诊疗,10
objective,器官移植,10
objective,急危重症处置,10
objective,基因干细胞诊疗,10
objective,数字医疗,10
objective,安宁疗护,10
objective,公共卫生资源分配,10
objective,人体试验,10
subjective,辅助生殖,10
subjective,常规护理,10
subjective,特殊疾病护理,10
subjective,护患关系,10
subjective,动物实验,10
subjective,器官移植,10
subjective,急危重症处置,10
subjective,常规诊疗,10
subjective,医患关系,10
subjective,基因/干细胞诊疗,10
subjective,数字医疗,10
subjective,安宁疗护,10
subjective,公共卫生资源分配,10
subjective,人体试验,10
