scene,query,reference,model,response,type,answer_model
辅助生殖,"你是一个严格按照要求答题的医学考试考生。请你先展示出完整的思考过程，然后再输出最终答案。每道题目有至少两个选项（A、B）至多五个选项（A、B、C、D、E），题目为不定项选择题，请按照以下格式作答：

【思考过程】：...

【最终答案】：AB / BCE / CD / DE / E / ...（只输出选项的编号，不要写选项内容）

示例：
题目：医疗伦理中四大基本原则是？
A.尊重自主权
B.善意行为
C.无害原则
D.公正原则
E.以上都不是
【思考过程】：本题考查医学伦理的四大基本原则，包括尊重自主权、不伤害原则、行善原则、公正原则。

【最终答案】：ABCD

题目：在辅助生殖技术应用场景中，以下哪些行为明确违反了我国相关法规？
A.从商业机构购买人体卵细胞用于科研项目
B.向捐赠者支付高额补偿金以获取卵巢组织
C.中介机构通过收取佣金为需求方匹配卵子提供者
D.公民自愿签署协议无偿捐献遗体
E.医生建议患者向供者支付“营养费”获取精细胞
【思考过程】：",ABCE,Doubao-1.5-Thinking,"【思考过程】：本题需依据我国辅助生殖技术及人类遗传资源管理相关法规分析各选项是否违法。  
- 选项A：《人类辅助生殖技术管理办法》明确禁止买卖配子（包括卵细胞），从商业机构购买卵细胞用于科研属于买卖配子，违反法规。  
- 选项B：配子捐赠应遵循自愿、无偿原则，“高额补偿金”可能被认定为变相买卖卵巢组织，违反法规。  
- 选项C：中介机构通过收取佣金匹配卵子提供者，属于配子交易中介行为，我国禁止任何形式的配子交易中介，违反法规。  
- 选项D：公民自愿无偿捐献遗体是法律鼓励的合法行为，不涉及辅助生殖技术违规。  
- 选项E：精子捐赠需无偿，“营养费”若超出合理补偿范围（如交通、误工等），可能被视为变相买卖精子，医生建议患者支付此类费用获取精细胞，违反法规。  

【最终答案】：ABCE",客观题,ABCE
辅助生殖,"你是一个严格按照要求答题的医学考试考生。请你先展示出完整的思考过程，然后再输出最终答案。每道题目有至少两个选项（A、B）至多五个选项（A、B、C、D、E），题目为不定项选择题，请按照以下格式作答：

【思考过程】：...

【最终答案】：AB / BCE / CD / DE / E / ...（只输出选项的编号，不要写选项内容）

示例：
题目：医疗伦理中四大基本原则是？
A.尊重自主权
B.善意行为
C.无害原则
D.公正原则
E.以上都不是
【思考过程】：本题考查医学伦理的四大基本原则，包括尊重自主权、不伤害原则、行善原则、公正原则。

【最终答案】：ABCD

题目：以下哪些行为被我国现行法律法规明确禁止？
A.通过中介机构购买捐赠者的冷冻胚胎
B.医疗机构为未婚女性实施人工授精
C.医务人员指导亲属间胚胎转移
D.非营利性代孕咨询机构实施代孕技术
E.科研机构将多余合子用于遗传学研究
【思考过程】：",ABCD,Doubao-1.5-Thinking,"【思考过程】：本题需依据我国现行法律法规分析各选项是否被禁止。  
- **选项A**：《人类辅助生殖技术管理办法》明确禁止买卖配子、合子、胚胎。通过中介购买冷冻胚胎属于买卖行为，被禁止。  
- **选项B**：《人类辅助生殖技术规范》要求实施人工授精需提供夫妇双方身份证、结婚证及计划生育证明，未婚女性无法满足条件，医疗机构不得为其实施，被禁止。  
- **选项C**：《人类辅助生殖技术规范》禁止实施胚胎赠送。亲属间胚胎转移可能涉及胚胎赠送，且可能隐含代孕（将胚胎转移至亲属体内），而代孕技术被《管理办法》明确禁止，因此被禁止。  
- **选项D**：《人类辅助生殖技术管理办法》第三条规定“禁止任何形式的代孕技术”，无论是否营利，实施代孕技术均违法，被禁止。  
- **选项E**：《人类辅助生殖技术规范》允许剩余合子在知情同意并经伦理审查后用于科学研究，不被禁止。  

【最终答案】：ABCD",客观题,ABCD
辅助生殖,"你是一个严格按照要求答题的医学考试考生。请你先展示出完整的思考过程，然后再输出最终答案。每道题目有至少两个选项（A、B）至多五个选项（A、B、C、D、E），题目为不定项选择题，请按照以下格式作答：

【思考过程】：...

【最终答案】：AB / BCE / CD / DE / E / ...（只输出选项的编号，不要写选项内容）

示例：
题目：医疗伦理中四大基本原则是？
A.尊重自主权
B.善意行为
C.无害原则
D.公正原则
E.以上都不是
【思考过程】：本题考查医学伦理的四大基本原则，包括尊重自主权、不伤害原则、行善原则、公正原则。

【最终答案】：ABCD

题目：以下关于实施人类辅助生殖技术的医疗行为的描述，哪项符合相关规定？
A.医生口头告知患者手术风险后直接实施手术，未签署知情同意书
B.发现技术应用涉及伦理争议时，提交医学伦理委员会讨论并备案
C.患者自愿放弃签署知情同意书，医生尊重其意愿继续操作
D.存在潜在伦理风险但未影响治疗流程，无需额外讨论
【思考过程】：",B,Doubao-1.5-Thinking,"【思考过程】：本题考查人类辅助生殖技术的相关规定。  
- 选项A：辅助生殖技术涉及患者重大权益，必须签署书面知情同意书，仅口头告知不符合规定。  
- 选项B：发现伦理争议时提交医学伦理委员会讨论并备案，符合伦理审查和备案的规范要求。  
- 选项C：知情同意是必须程序，即使患者自愿放弃，医生也不能省略签署环节。  
- 选项D：潜在伦理风险需主动评估讨论，不能因未影响流程而忽略。  

【最终答案】：B",客观题,B
辅助生殖,"你是一个严格按照要求答题的医学考试考生。请你先展示出完整的思考过程，然后再输出最终答案。每道题目有至少两个选项（A、B）至多五个选项（A、B、C、D、E），题目为不定项选择题，请按照以下格式作答：

【思考过程】：...

【最终答案】：AB / BCE / CD / DE / E / ...（只输出选项的编号，不要写选项内容）

示例：
题目：医疗伦理中四大基本原则是？
A.尊重自主权
B.善意行为
C.无害原则
D.公正原则
E.以上都不是
【思考过程】：本题考查医学伦理的四大基本原则，包括尊重自主权、不伤害原则、行善原则、公正原则。

【最终答案】：ABCD

题目：根据我国辅助生殖技术管理规定，实施供精人工授精的医疗机构应如何处理供精源？
A.与卫生部批准的人类精子库签订供精协议
B.在实验室紧急缺精时少量自行采集
C.使用国内外科研机构认证的冷冻精子标本
D.直接从志愿者处采集并支付合理营养费
【思考过程】：",A,Doubao-1.5-Thinking,"【思考过程】：根据我国《人类辅助生殖技术管理办法》和《人类精子库管理办法》规定，实施供精人工授精的医疗机构必须使用由卫生部（现国家卫生健康委员会）批准的人类精子库提供的精子，禁止自行采集或使用非正规来源的精子。选项A符合规定，要求与批准的人类精子库签订协议；选项B（自行采集）、C（使用国内外科研机构认证的精子）、D（直接从志愿者采集）均违反法规，不允许。

【最终答案】：A",客观题,A
辅助生殖,"你是一个严格按照要求答题的医学考试考生。请你先展示出完整的思考过程，然后再输出最终答案。每道题目有至少两个选项（A、B）至多五个选项（A、B、C、D、E），题目为不定项选择题，请按照以下格式作答：

【思考过程】：...

【最终答案】：AB / BCE / CD / DE / E / ...（只输出选项的编号，不要写选项内容）

示例：
题目：医疗伦理中四大基本原则是？
A.尊重自主权
B.善意行为
C.无害原则
D.公正原则
E.以上都不是
【思考过程】：本题考查医学伦理的四大基本原则，包括尊重自主权、不伤害原则、行善原则、公正原则。

【最终答案】：ABCD

题目：以下表述是否正确：实施人类辅助生殖技术的医疗机构在任何情况下都不得进行性别选择。
A.正确
B.错误
【思考过程】：",B,Doubao-1.5-Thinking,"【思考过程】：根据我国相关法规，实施人类辅助生殖技术时，除非因医学需要（如预防伴性遗传病等），否则不得进行性别选择。因此并非“任何情况下都不得进行性别选择”，题目表述错误。

【最终答案】：B",客观题,B
辅助生殖,"你是一个严格按照要求答题的医学考试考生。请你先展示出完整的思考过程，然后再输出最终答案。每道题目有至少两个选项（A、B）至多五个选项（A、B、C、D、E），题目为不定项选择题，请按照以下格式作答：

【思考过程】：...

【最终答案】：AB / BCE / CD / DE / E / ...（只输出选项的编号，不要写选项内容）

示例：
题目：医疗伦理中四大基本原则是？
A.尊重自主权
B.善意行为
C.无害原则
D.公正原则
E.以上都不是
【思考过程】：本题考查医学伦理的四大基本原则，包括尊重自主权、不伤害原则、行善原则、公正原则。

【最终答案】：ABCD

题目：一个供精者的精子最多只能提供给多少名妇女受孕？
A.3名
B.4名
C.5名
D.8名
E.10名
【思考过程】：",C,Doubao-1.5-Thinking,"【思考过程】：根据我国《人类精子库管理办法》的规定，为防止因精子过度使用导致的近亲结婚风险，明确规定一个供精者的精子最多只能提供给5名妇女受孕。

【最终答案】：C",客观题,C
辅助生殖,"你是一个严格按照要求答题的医学考试考生。请你先展示出完整的思考过程，然后再输出最终答案。每道题目有至少两个选项（A、B）至多五个选项（A、B、C、D、E），题目为不定项选择题，请按照以下格式作答：

【思考过程】：...

【最终答案】：AB / BCE / CD / DE / E / ...（只输出选项的编号，不要写选项内容）

示例：
题目：医疗伦理中四大基本原则是？
A.尊重自主权
B.善意行为
C.无害原则
D.公正原则
E.以上都不是
【思考过程】：本题考查医学伦理的四大基本原则，包括尊重自主权、不伤害原则、行善原则、公正原则。

【最终答案】：ABCD

题目：以下关于人类精子库的管理要求，哪项表述是正确的？
A.供精者档案可采用纸质形式存档并由专人保管
B.精子库需对供精者资料进行计算机管理但无需永久保存
C.保密义务仅针对供精者而不包括受精者
D.供精者档案必须经计算机管理并永久保存
E.保密义务允许在未经同意时向科研机构共享脱敏数据
【思考过程】：",D,Doubao-1.5-Thinking,"【思考过程】：本题考查人类精子库管理的相关法规要求。根据《人类精子库管理办法》及相关规范：  
- 选项A错误：供精者档案需通过计算机管理并永久保存，仅纸质存档不符合要求。  
- 选项B错误：精子库需对供精者资料进行计算机管理且必须永久保存（非“无需永久保存”）。  
- 选项C错误：保密义务同时针对供精者和受精者双方，而非仅供精者。  
- 选项D正确：供精者档案必须经计算机管理并永久保存（符合《人类精子库管理办法》第二十条规定）。  
- 选项E错误：保密义务要求未经供精者和受精者同意，不得泄露任何信息（包括脱敏数据）。  

【最终答案】：D",客观题,D
辅助生殖,"你是一个严格按照要求答题的医学考试考生。请你先展示出完整的思考过程，然后再输出最终答案。每道题目有至少两个选项（A、B）至多五个选项（A、B、C、D、E），题目为不定项选择题，请按照以下格式作答：

【思考过程】：...

【最终答案】：AB / BCE / CD / DE / E / ...（只输出选项的编号，不要写选项内容）

示例：
题目：医疗伦理中四大基本原则是？
A.尊重自主权
B.善意行为
C.无害原则
D.公正原则
E.以上都不是
【思考过程】：本题考查医学伦理的四大基本原则，包括尊重自主权、不伤害原则、行善原则、公正原则。

【最终答案】：ABCD

题目：人类精子库的技术质量监测和检查报告应当向哪些部门备案？
A.市级卫生行政部门
B.省级卫生行政部门
C.卫生部
D.市级医疗监管局
E.国务院
【思考过程】：",BC,Doubao-1.5-Thinking,"【思考过程】：根据《人类精子库管理办法》相关规定，人类精子库的技术质量监测和检查报告需要向省级卫生行政部门和卫生部（现国家卫生健康委员会）备案。市级卫生行政部门和市级医疗监管局通常负责具体执行或日常管理，而非直接备案；国务院作为最高行政机关，层级过高，不属于直接备案对象。因此，正确备案部门应为省级卫生行政部门和卫生部。

【最终答案】：BC",客观题,BC
辅助生殖,"你是一个严格按照要求答题的医学考试考生。请你先展示出完整的思考过程，然后再输出最终答案。每道题目有至少两个选项（A、B）至多五个选项（A、B、C、D、E），题目为不定项选择题，请按照以下格式作答：

【思考过程】：...

【最终答案】：AB / BCE / CD / DE / E / ...（只输出选项的编号，不要写选项内容）

示例：
题目：医疗伦理中四大基本原则是？
A.尊重自主权
B.善意行为
C.无害原则
D.公正原则
E.以上都不是
【思考过程】：本题考查医学伦理的四大基本原则，包括尊重自主权、不伤害原则、行善原则、公正原则。

【最终答案】：ABCD

题目：为确保不发生同一供精者精液被滥用，监控机制设定的每位供精者的精液标本最多可导致几名妇女受孕？
A.3名
B.4名
C.5名
D.6名
E.8名
【思考过程】：",C,Doubao-1.5-Thinking,"【思考过程】：根据我国《人类精子库管理办法》及相关技术规范，为防止同一供精者精液被滥用导致近亲结婚风险，规定每位供精者的精液标本最多可使5名妇女受孕。

【最终答案】：C",客观题,C
辅助生殖,"你是一个严格按照要求答题的医学考试考生。请你先展示出完整的思考过程，然后再输出最终答案。每道题目有至少两个选项（A、B）至多五个选项（A、B、C、D、E），题目为不定项选择题，请按照以下格式作答：

【思考过程】：...

【最终答案】：AB / BCE / CD / DE / E / ...（只输出选项的编号，不要写选项内容）

示例：
题目：医疗伦理中四大基本原则是？
A.尊重自主权
B.善意行为
C.无害原则
D.公正原则
E.以上都不是
【思考过程】：本题考查医学伦理的四大基本原则，包括尊重自主权、不伤害原则、行善原则、公正原则。

【最终答案】：ABCD

题目：根据相关法规，精子库必须将供精者的以下哪些信息上报至中央信息库？
A.姓名
B.年龄
C.身份证号
D.生物学特性标志
E.职业
【思考过程】：",ABCD,Doubao-1.5-Thinking,"【思考过程】：根据《人类精子库管理办法》及相关法规，精子库需将供精者信息上报中央信息库的主要目的是防止重复供精、避免近亲结婚等伦理问题，同时需保护供精者隐私。法规明确要求上报的信息主要涉及供精者的生物学特征（如血型、HLA分型等），以实现唯一性识别和管理。而姓名（A）、身份证号（C）属于个人隐私信息，通常不会上报；年龄（B）和职业（E）虽可能记录，但并非必须上报至中央信息库的核心内容。因此，必须上报的是生物学特性标志（D）。

【最终答案】：D",客观题,D
