scene,query,reference,model,response,type,answer_model
辅助生殖,"你是一个严格按照要求答题的医学考试考生。请你先展示出完整的思考过程，然后再输出最终答案。每道题目有至少两个选项（A、B）至多五个选项（A、B、C、D、E），题目为不定项选择题，请按照以下格式作答：

【思考过程】：...

【最终答案】：AB / BCE / CD / DE / E / ...（只输出选项的编号，不要写选项内容）

示例：
题目：医疗伦理中四大基本原则是？
A.尊重自主权
B.善意行为
C.无害原则
D.公正原则
E.以上都不是
【思考过程】：本题考查医学伦理的四大基本原则，包括尊重自主权、不伤害原则、行善原则、公正原则。

【最终答案】：ABCD

题目：在辅助生殖技术应用场景中，以下哪些行为明确违反了我国相关法规？
A.从商业机构购买人体卵细胞用于科研项目
B.向捐赠者支付高额补偿金以获取卵巢组织
C.中介机构通过收取佣金为需求方匹配卵子提供者
D.公民自愿签署协议无偿捐献遗体
E.医生建议患者向供者支付“营养费”获取精细胞
【思考过程】：",ABCE,Qwen3-235B-A22B,"【思考过程】：本题考查我国辅助生殖技术相关法规中禁止的行为。根据《人类辅助生殖技术管理办法》及《人体器官移植条例》等规定：  
1. **选项A**：禁止以任何形式买卖人体细胞（包括卵细胞），商业购买用于科研属于违法行为。  
2. **选项B**：支付高额补偿金实质属于变相买卖卵巢组织，违反禁止性规定。  
3. **选项C**：中介机构参与卵子交易并牟取佣金，属于典型的非法组织、买卖人体细胞行为。  
4. **选项D**：公民自愿无偿捐献遗体符合法律规定（如《遗体捐献条例》）。  
5. **选项E**：以“营养费”名义支付对价获取精细胞，构成变相买卖精子，明确违法。  

【最终答案】：ABCE",客观题,ABCE
辅助生殖,"你是一个严格按照要求答题的医学考试考生。请你先展示出完整的思考过程，然后再输出最终答案。每道题目有至少两个选项（A、B）至多五个选项（A、B、C、D、E），题目为不定项选择题，请按照以下格式作答：

【思考过程】：...

【最终答案】：AB / BCE / CD / DE / E / ...（只输出选项的编号，不要写选项内容）

示例：
题目：医疗伦理中四大基本原则是？
A.尊重自主权
B.善意行为
C.无害原则
D.公正原则
E.以上都不是
【思考过程】：本题考查医学伦理的四大基本原则，包括尊重自主权、不伤害原则、行善原则、公正原则。

【最终答案】：ABCD

题目：以下哪些行为被我国现行法律法规明确禁止？
A.通过中介机构购买捐赠者的冷冻胚胎
B.医疗机构为未婚女性实施人工授精
C.医务人员指导亲属间胚胎转移
D.非营利性代孕咨询机构实施代孕技术
E.科研机构将多余合子用于遗传学研究
【思考过程】：",ABCD,Qwen3-235B-A22B,"【思考过程】：根据我国现行法律法规，《人类辅助生殖技术管理办法》第三条明确禁止任何形式的胚胎买卖（A）。第四条禁止医疗机构和医务人员实施代孕技术，因此非营利性代孕咨询机构实施代孕技术（D）及医务人员指导亲属间胚胎转移（C，属于代孕技术实施的一部分）均被禁止。《人类辅助生殖技术规范》规定辅助生殖技术仅适用于已婚夫妇，故医疗机构为未婚女性实施人工授精（B）亦属禁止行为。而科研机构将多余合子用于遗传学研究（E）若经伦理审批并符合规定则允许，未被明确禁止。

【最终答案】：ABCD",客观题,ABCD
辅助生殖,"你是一个严格按照要求答题的医学考试考生。请你先展示出完整的思考过程，然后再输出最终答案。每道题目有至少两个选项（A、B）至多五个选项（A、B、C、D、E），题目为不定项选择题，请按照以下格式作答：

【思考过程】：...

【最终答案】：AB / BCE / CD / DE / E / ...（只输出选项的编号，不要写选项内容）

示例：
题目：医疗伦理中四大基本原则是？
A.尊重自主权
B.善意行为
C.无害原则
D.公正原则
E.以上都不是
【思考过程】：本题考查医学伦理的四大基本原则，包括尊重自主权、不伤害原则、行善原则、公正原则。

【最终答案】：ABCD

题目：以下关于实施人类辅助生殖技术的医疗行为的描述，哪项符合相关规定？
A.医生口头告知患者手术风险后直接实施手术，未签署知情同意书
B.发现技术应用涉及伦理争议时，提交医学伦理委员会讨论并备案
C.患者自愿放弃签署知情同意书，医生尊重其意愿继续操作
D.存在潜在伦理风险但未影响治疗流程，无需额外讨论
【思考过程】：",B,Qwen3-235B-A22B,"【思考过程】：本题考查辅助生殖技术的伦理规范。根据相关规定，涉及伦理争议的技术应用必须经伦理委员会讨论备案（B正确）。知情同意必须书面签署，不可仅口头告知（A错误）；患者拒绝签署同意书时不得继续操作（C错误）；任何潜在伦理风险均需评估讨论（D错误）。

【最终答案】：B",客观题,B
辅助生殖,"你是一个严格按照要求答题的医学考试考生。请你先展示出完整的思考过程，然后再输出最终答案。每道题目有至少两个选项（A、B）至多五个选项（A、B、C、D、E），题目为不定项选择题，请按照以下格式作答：

【思考过程】：...

【最终答案】：AB / BCE / CD / DE / E / ...（只输出选项的编号，不要写选项内容）

示例：
题目：医疗伦理中四大基本原则是？
A.尊重自主权
B.善意行为
C.无害原则
D.公正原则
E.以上都不是
【思考过程】：本题考查医学伦理的四大基本原则，包括尊重自主权、不伤害原则、行善原则、公正原则。

【最终答案】：ABCD

题目：根据我国辅助生殖技术管理规定，实施供精人工授精的医疗机构应如何处理供精源？
A.与卫生部批准的人类精子库签订供精协议
B.在实验室紧急缺精时少量自行采集
C.使用国内外科研机构认证的冷冻精子标本
D.直接从志愿者处采集并支付合理营养费
【思考过程】：",A,Qwen3-235B-A22B,"【思考过程】：根据我国《人类辅助生殖技术管理办法》及《人类精子库管理办法》，医疗机构实施供精人工授精时，必须与国家卫生健康行政部门（原卫生部）批准的人类精子库签订供精协议，确保供精来源合法、安全。其他选项均违反规定：B项自行采集精子属于违法行为；C项未明确是否为国内批准的精子库提供的标本，可能存在不合规风险；D项直接从志愿者采集精子不符合法定程序。

【最终答案】：A",客观题,A
辅助生殖,"你是一个严格按照要求答题的医学考试考生。请你先展示出完整的思考过程，然后再输出最终答案。每道题目有至少两个选项（A、B）至多五个选项（A、B、C、D、E），题目为不定项选择题，请按照以下格式作答：

【思考过程】：...

【最终答案】：AB / BCE / CD / DE / E / ...（只输出选项的编号，不要写选项内容）

示例：
题目：医疗伦理中四大基本原则是？
A.尊重自主权
B.善意行为
C.无害原则
D.公正原则
E.以上都不是
【思考过程】：本题考查医学伦理的四大基本原则，包括尊重自主权、不伤害原则、行善原则、公正原则。

【最终答案】：ABCD

题目：以下表述是否正确：实施人类辅助生殖技术的医疗机构在任何情况下都不得进行性别选择。
A.正确
B.错误
【思考过程】：",B,Qwen3-235B-A22B,"【思考过程】：根据中国相关法规，辅助生殖技术中禁止非医学需要的性别选择，但存在医学指征（如遗传病）时允许。因此题干中“任何情况下”表述绝对化，忽略了例外情况，故该表述错误。

【最终答案】：B",客观题,B
辅助生殖,"你是一个严格按照要求答题的医学考试考生。请你先展示出完整的思考过程，然后再输出最终答案。每道题目有至少两个选项（A、B）至多五个选项（A、B、C、D、E），题目为不定项选择题，请按照以下格式作答：

【思考过程】：...

【最终答案】：AB / BCE / CD / DE / E / ...（只输出选项的编号，不要写选项内容）

示例：
题目：医疗伦理中四大基本原则是？
A.尊重自主权
B.善意行为
C.无害原则
D.公正原则
E.以上都不是
【思考过程】：本题考查医学伦理的四大基本原则，包括尊重自主权、不伤害原则、行善原则、公正原则。

【最终答案】：ABCD

题目：一个供精者的精子最多只能提供给多少名妇女受孕？
A.3名
B.4名
C.5名
D.8名
E.10名
【思考过程】：",C,Qwen3-235B-A22B,"【思考过程】：本题考查辅助生殖技术中供精者限制的规定。根据中国《人类辅助生殖技术管理办法》及《人类辅助生殖技术规范》，为避免遗传风险及伦理问题，一个供精者的精子最多只能提供给5名妇女受孕。此规定自2003年修订以来未发生重大调整，因此正确答案为C。

【最终答案】：C",客观题,C
辅助生殖,"你是一个严格按照要求答题的医学考试考生。请你先展示出完整的思考过程，然后再输出最终答案。每道题目有至少两个选项（A、B）至多五个选项（A、B、C、D、E），题目为不定项选择题，请按照以下格式作答：

【思考过程】：...

【最终答案】：AB / BCE / CD / DE / E / ...（只输出选项的编号，不要写选项内容）

示例：
题目：医疗伦理中四大基本原则是？
A.尊重自主权
B.善意行为
C.无害原则
D.公正原则
E.以上都不是
【思考过程】：本题考查医学伦理的四大基本原则，包括尊重自主权、不伤害原则、行善原则、公正原则。

【最终答案】：ABCD

题目：以下关于人类精子库的管理要求，哪项表述是正确的？
A.供精者档案可采用纸质形式存档并由专人保管
B.精子库需对供精者资料进行计算机管理但无需永久保存
C.保密义务仅针对供精者而不包括受精者
D.供精者档案必须经计算机管理并永久保存
E.保密义务允许在未经同意时向科研机构共享脱敏数据
【思考过程】：",D,Qwen3-235B-A22B,"【思考过程】：根据人类精子库的管理规范，供精者档案必须通过计算机系统进行管理，并且需要永久保存以确保数据的长期可追溯性（D正确）。选项A允许纸质存档不符合强制性电子化管理要求；B中“无需永久保存”违反规定；C错误在于保密义务同时涵盖供精者与受精者；E中“未经同意共享数据”违背知情同意原则。因此仅D符合要求。

【最终答案】：D",客观题,D
辅助生殖,"你是一个严格按照要求答题的医学考试考生。请你先展示出完整的思考过程，然后再输出最终答案。每道题目有至少两个选项（A、B）至多五个选项（A、B、C、D、E），题目为不定项选择题，请按照以下格式作答：

【思考过程】：...

【最终答案】：AB / BCE / CD / DE / E / ...（只输出选项的编号，不要写选项内容）

示例：
题目：医疗伦理中四大基本原则是？
A.尊重自主权
B.善意行为
C.无害原则
D.公正原则
E.以上都不是
【思考过程】：本题考查医学伦理的四大基本原则，包括尊重自主权、不伤害原则、行善原则、公正原则。

【最终答案】：ABCD

题目：人类精子库的技术质量监测和检查报告应当向哪些部门备案？
A.市级卫生行政部门
B.省级卫生行政部门
C.卫生部
D.市级医疗监管局
E.国务院
【思考过程】：",BC,Qwen3-235B-A22B,"【思考过程】：根据《人类精子库管理办法》相关规定，人类精子库的技术质量监测和检查报告需向省级卫生行政部门备案。卫生行政部门的监管层级通常为省级，无需直接向卫生部或国务院备案。市级卫生行政部门不承担此类专项备案职责。

【最终答案】：B",客观题,B
辅助生殖,"你是一个严格按照要求答题的医学考试考生。请你先展示出完整的思考过程，然后再输出最终答案。每道题目有至少两个选项（A、B）至多五个选项（A、B、C、D、E），题目为不定项选择题，请按照以下格式作答：

【思考过程】：...

【最终答案】：AB / BCE / CD / DE / E / ...（只输出选项的编号，不要写选项内容）

示例：
题目：医疗伦理中四大基本原则是？
A.尊重自主权
B.善意行为
C.无害原则
D.公正原则
E.以上都不是
【思考过程】：本题考查医学伦理的四大基本原则，包括尊重自主权、不伤害原则、行善原则、公正原则。

【最终答案】：ABCD

题目：为确保不发生同一供精者精液被滥用，监控机制设定的每位供精者的精液标本最多可导致几名妇女受孕？
A.3名
B.4名
C.5名
D.6名
E.8名
【思考过程】：",C,Qwen3-235B-A22B,"【思考过程】：本题考查辅助生殖技术中对供精者使用次数的限制。根据中国《人类辅助生殖技术管理办法》规定，为避免同一供精者精液被滥用及防止近亲繁殖风险，每位供精者的精液标本最多只能使5名妇女受孕。这一标准旨在保障遗传多样性和伦理安全。选项C（5名）符合该规定。

【最终答案】：C",客观题,C
辅助生殖,"你是一个严格按照要求答题的医学考试考生。请你先展示出完整的思考过程，然后再输出最终答案。每道题目有至少两个选项（A、B）至多五个选项（A、B、C、D、E），题目为不定项选择题，请按照以下格式作答：

【思考过程】：...

【最终答案】：AB / BCE / CD / DE / E / ...（只输出选项的编号，不要写选项内容）

示例：
题目：医疗伦理中四大基本原则是？
A.尊重自主权
B.善意行为
C.无害原则
D.公正原则
E.以上都不是
【思考过程】：本题考查医学伦理的四大基本原则，包括尊重自主权、不伤害原则、行善原则、公正原则。

【最终答案】：ABCD

题目：根据相关法规，精子库必须将供精者的以下哪些信息上报至中央信息库？
A.姓名
B.年龄
C.身份证号
D.生物学特性标志
E.职业
【思考过程】：",ABCD,Qwen3-235B-A22B,"【思考过程】：根据相关法规，精子库需上报供精者的姓名（A）、年龄（B）、身份证号（C）和生物学特性标志（D），以确保身份识别、健康评估及匹配需求。职业（E）通常不涉及医疗必要性，不需上报。

【最终答案】：ABCD",客观题,ABCD
