scene,query,reference,model,response,type,answer_model
辅助生殖,"你是一个严格按照要求答题的医学考试考生。请你先展示出完整的思考过程，然后再输出最终答案。每道题目有至少两个选项（A、B）至多五个选项（A、B、C、D、E），题目为不定项选择题，请按照以下格式作答：

【思考过程】：...

【最终答案】：AB / BCE / CD / DE / E / ...（只输出选项的编号，不要写选项内容）

示例：
题目：医疗伦理中四大基本原则是？
A.尊重自主权
B.善意行为
C.无害原则
D.公正原则
E.以上都不是
【思考过程】：本题考查医学伦理的四大基本原则，包括尊重自主权、不伤害原则、行善原则、公正原则。

【最终答案】：ABCD

题目：在辅助生殖技术应用场景中，以下哪些行为明确违反了我国相关法规？
A.从商业机构购买人体卵细胞用于科研项目
B.向捐赠者支付高额补偿金以获取卵巢组织
C.中介机构通过收取佣金为需求方匹配卵子提供者
D.公民自愿签署协议无偿捐献遗体
E.医生建议患者向供者支付“营养费”获取精细胞
【思考过程】：",ABCE,Claude-4.5,"【思考过程】：

本题考查我国关于辅助生殖技术和人体组织器官捐赠的法律法规。

逐项分析：

**A选项**：从商业机构购买人体卵细胞用于科研项目
- 根据《人类辅助生殖技术管理办法》，明确禁止买卖配子、合子、胚胎
- 卵细胞属于配子，商业购买行为明确违法
- **违反法规**

**B选项**：向捐赠者支付高额补偿金以获取卵巢组织
- 《人体器官移植条例》禁止买卖人体器官组织
- 虽可给予必要的误工、交通等合理补助，但""高额补偿金""实质上是变相买卖
- **违反法规**

**C选项**：中介机构通过收取佣金为需求方匹配卵子提供者
- 这是典型的配子买卖中介行为
- 我国明确禁止任何组织或个人以任何形式买卖配子，中介行为同样被禁止
- **违反法规**

**D选项**：公民自愿签署协议无偿捐献遗体
- 我国《遗体捐献条例》鼓励公民自愿无偿捐献遗体用于医学教育和科研
- 这是合法且值得提倡的行为
- **不违反法规**

**E选项**：医生建议患者向供者支付""营养费""获取精细胞
- 精细胞属于配子
- 虽名义上是""营养费""，但实质是通过支付费用获取配子，属于变相买卖
- **违反法规**

【最终答案】：ABCE",客观题,ABCE
辅助生殖,"你是一个严格按照要求答题的医学考试考生。请你先展示出完整的思考过程，然后再输出最终答案。每道题目有至少两个选项（A、B）至多五个选项（A、B、C、D、E），题目为不定项选择题，请按照以下格式作答：

【思考过程】：...

【最终答案】：AB / BCE / CD / DE / E / ...（只输出选项的编号，不要写选项内容）

示例：
题目：医疗伦理中四大基本原则是？
A.尊重自主权
B.善意行为
C.无害原则
D.公正原则
E.以上都不是
【思考过程】：本题考查医学伦理的四大基本原则，包括尊重自主权、不伤害原则、行善原则、公正原则。

【最终答案】：ABCD

题目：以下哪些行为被我国现行法律法规明确禁止？
A.通过中介机构购买捐赠者的冷冻胚胎
B.医疗机构为未婚女性实施人工授精
C.医务人员指导亲属间胚胎转移
D.非营利性代孕咨询机构实施代孕技术
E.科研机构将多余合子用于遗传学研究
【思考过程】：",ABCD,Claude-4.5,"【思考过程】：

本题考查我国关于辅助生殖技术的法律法规规定。需要依据《人类辅助生殖技术管理办法》《人类辅助生殖技术规范》等相关法规逐项分析：

**A选项**：通过中介机构购买捐赠者的冷冻胚胎
- 我国明确禁止买卖配子、合子、胚胎，严禁任何形式的商业化。通过中介购买属于商业化行为，明确禁止。

**B选项**：医疗机构为未婚女性实施人工授精
- 根据规定，实施人类辅助生殖技术的对象必须是符合国家人口和计划生育法规规定的合法夫妻。未婚女性不符合条件，明确禁止。

**C选项**：医务人员指导亲属间胚胎转移
- 这实质是代孕行为。我国严格禁止任何形式、任何目的的代孕技术，包括亲属间代孕，明确禁止。

**D选项**：非营利性代孕咨询机构实施代孕技术
- 我国禁止以任何形式实施代孕技术，无论营利性还是非营利性，都是明确禁止的。

**E选项**：科研机构将多余合子用于遗传学研究
- 在符合伦理审查、获得夫妇知情同意、遵守14天规则等条件下，可以将剩余胚胎用于科学研究，不属于明确禁止的行为。

【最终答案】：ABCD",客观题,ABCD
辅助生殖,"你是一个严格按照要求答题的医学考试考生。请你先展示出完整的思考过程，然后再输出最终答案。每道题目有至少两个选项（A、B）至多五个选项（A、B、C、D、E），题目为不定项选择题，请按照以下格式作答：

【思考过程】：...

【最终答案】：AB / BCE / CD / DE / E / ...（只输出选项的编号，不要写选项内容）

示例：
题目：医疗伦理中四大基本原则是？
A.尊重自主权
B.善意行为
C.无害原则
D.公正原则
E.以上都不是
【思考过程】：本题考查医学伦理的四大基本原则，包括尊重自主权、不伤害原则、行善原则、公正原则。

【最终答案】：ABCD

题目：以下关于实施人类辅助生殖技术的医疗行为的描述，哪项符合相关规定？
A.医生口头告知患者手术风险后直接实施手术，未签署知情同意书
B.发现技术应用涉及伦理争议时，提交医学伦理委员会讨论并备案
C.患者自愿放弃签署知情同意书，医生尊重其意愿继续操作
D.存在潜在伦理风险但未影响治疗流程，无需额外讨论
【思考过程】：",B,Claude-4.5,"【思考过程】：

本题考查人类辅助生殖技术实施过程中的医疗规范和伦理要求。

逐项分析：

**A选项：医生口头告知患者手术风险后直接实施手术，未签署知情同意书**
- 不符合规定。人类辅助生殖技术属于重大医疗行为，根据《人类辅助生殖技术管理办法》及《医疗机构管理条例》，必须履行书面知情同意程序，签署知情同意书是强制性要求，仅口头告知不符合规范。

**B选项：发现技术应用涉及伦理争议时，提交医学伦理委员会讨论并备案**
- 符合规定。根据《人类辅助生殖技术规范》和《涉及人的生物医学研究伦理审查办法》，当技术应用涉及伦理争议时，应当提交医学伦理委员会进行审查和讨论，并进行备案，这是规范的处理流程。

**C选项：患者自愿放弃签署知情同意书，医生尊重其意愿继续操作**
- 不符合规定。知情同意书是医疗行为的法定程序要求，不能因患者个人意愿而豁免。这是保护医患双方合法权益的必要措施，医疗机构不得省略。

**D选项：存在潜在伦理风险但未影响治疗流程，无需额外讨论**
- 不符合规定。辅助生殖技术本身涉及生命伦理、生殖伦理等重大问题，即使未直接影响治疗流程，但凡存在潜在伦理风险，都应当进行伦理评估和讨论，不能忽视。

【最终答案】：B",客观题,B
辅助生殖,"你是一个严格按照要求答题的医学考试考生。请你先展示出完整的思考过程，然后再输出最终答案。每道题目有至少两个选项（A、B）至多五个选项（A、B、C、D、E），题目为不定项选择题，请按照以下格式作答：

【思考过程】：...

【最终答案】：AB / BCE / CD / DE / E / ...（只输出选项的编号，不要写选项内容）

示例：
题目：医疗伦理中四大基本原则是？
A.尊重自主权
B.善意行为
C.无害原则
D.公正原则
E.以上都不是
【思考过程】：本题考查医学伦理的四大基本原则，包括尊重自主权、不伤害原则、行善原则、公正原则。

【最终答案】：ABCD

题目：根据我国辅助生殖技术管理规定，实施供精人工授精的医疗机构应如何处理供精源？
A.与卫生部批准的人类精子库签订供精协议
B.在实验室紧急缺精时少量自行采集
C.使用国内外科研机构认证的冷冻精子标本
D.直接从志愿者处采集并支付合理营养费
【思考过程】：",A,Claude-4.5,"【思考过程】：

本题考查我国辅助生殖技术管理规定中关于供精人工授精的管理要求。

根据《人类辅助生殖技术管理办法》和《人类精子库管理办法》的相关规定：

**A选项分析**：实施供精人工授精的医疗机构必须从经国家卫生行政部门批准的人类精子库获取精子，双方应签订供精协议。这是唯一合法的精子来源途径。此选项**正确**。

**B选项分析**：医疗机构不得自行采集精子，即使是紧急情况也不允许。精子的采集、检验、冷冻、保存和提供必须由经批准的人类精子库统一管理，以确保质量控制和伦理监管。此选项**错误**。

**C选项分析**：供精必须来自经国家卫生行政部门批准的人类精子库，不能使用其他来源的精子标本，包括科研机构提供的标本。此选项**错误**。

**D选项分析**：医疗机构不得直接从志愿者处采集精子。精子捐献者必须通过人类精子库进行严格筛查、体检和管理，且精子捐献是无偿的志愿行为（可给予必要的误工、交通和医疗补助）。此选项**错误**。

【最终答案】：A",客观题,A
辅助生殖,"你是一个严格按照要求答题的医学考试考生。请你先展示出完整的思考过程，然后再输出最终答案。每道题目有至少两个选项（A、B）至多五个选项（A、B、C、D、E），题目为不定项选择题，请按照以下格式作答：

【思考过程】：...

【最终答案】：AB / BCE / CD / DE / E / ...（只输出选项的编号，不要写选项内容）

示例：
题目：医疗伦理中四大基本原则是？
A.尊重自主权
B.善意行为
C.无害原则
D.公正原则
E.以上都不是
【思考过程】：本题考查医学伦理的四大基本原则，包括尊重自主权、不伤害原则、行善原则、公正原则。

【最终答案】：ABCD

题目：以下表述是否正确：实施人类辅助生殖技术的医疗机构在任何情况下都不得进行性别选择。
A.正确
B.错误
【思考过程】：",B,Claude-4.5,"【思考过程】：

本题考查人类辅助生殖技术中性别选择的相关规定。

根据我国《人类辅助生殖技术管理办法》和《人类辅助生殖技术规范》的规定：

1. **一般原则**：禁止非医学需要的胎儿性别选择，这是为了防止人为选择性别导致出生人口性别比失衡。

2. **例外情况**：当有明确的医学指征时，允许进行性别选择。主要适用于：
   - X连锁隐性遗传病（如血友病、假肥大型肌营养不良症等），这类疾病通常只在男性中发病，女性为携带者
   - 其他与性别相关的严重遗传性疾病
   - 目的是为了避免生育遗传病患儿

3. **题目分析**：""在任何情况下都不得进行性别选择""的表述过于绝对，忽略了医学需要的例外情况。

因此，该表述是**错误**的。正确的表述应为：""禁止非医学需要的性别选择""或""除医学需要外，不得进行性别选择""。

【最终答案】：B",客观题,B
辅助生殖,"你是一个严格按照要求答题的医学考试考生。请你先展示出完整的思考过程，然后再输出最终答案。每道题目有至少两个选项（A、B）至多五个选项（A、B、C、D、E），题目为不定项选择题，请按照以下格式作答：

【思考过程】：...

【最终答案】：AB / BCE / CD / DE / E / ...（只输出选项的编号，不要写选项内容）

示例：
题目：医疗伦理中四大基本原则是？
A.尊重自主权
B.善意行为
C.无害原则
D.公正原则
E.以上都不是
【思考过程】：本题考查医学伦理的四大基本原则，包括尊重自主权、不伤害原则、行善原则、公正原则。

【最终答案】：ABCD

题目：一个供精者的精子最多只能提供给多少名妇女受孕？
A.3名
B.4名
C.5名
D.8名
E.10名
【思考过程】：",C,Claude-4.5,"【思考过程】：本题考查人类辅助生殖技术的相关规范。根据我国卫生部发布的《人类精子库基本标准和技术规范》和《人类辅助生殖技术规范》的明确规定，为了防止供精者后代过多而导致的伦理问题（如未来可能发生的近亲结婚风险），以及保护供精者和受精者的合法权益，对供精者精子的使用范围有严格限制。规定明确指出：一个供精者的精子最多只能使5名妇女受孕（妊娠）。这是为了控制同一供精者后代的数量，降低其后代在未来不知情情况下近亲结婚的概率。

【最终答案】：C",客观题,C
辅助生殖,"你是一个严格按照要求答题的医学考试考生。请你先展示出完整的思考过程，然后再输出最终答案。每道题目有至少两个选项（A、B）至多五个选项（A、B、C、D、E），题目为不定项选择题，请按照以下格式作答：

【思考过程】：...

【最终答案】：AB / BCE / CD / DE / E / ...（只输出选项的编号，不要写选项内容）

示例：
题目：医疗伦理中四大基本原则是？
A.尊重自主权
B.善意行为
C.无害原则
D.公正原则
E.以上都不是
【思考过程】：本题考查医学伦理的四大基本原则，包括尊重自主权、不伤害原则、行善原则、公正原则。

【最终答案】：ABCD

题目：以下关于人类精子库的管理要求，哪项表述是正确的？
A.供精者档案可采用纸质形式存档并由专人保管
B.精子库需对供精者资料进行计算机管理但无需永久保存
C.保密义务仅针对供精者而不包括受精者
D.供精者档案必须经计算机管理并永久保存
E.保密义务允许在未经同意时向科研机构共享脱敏数据
【思考过程】：",D,Claude-4.5,"【思考过程】：

本题考查人类精子库的档案管理和保密制度相关规定。

逐项分析：

**A选项：供精者档案可采用纸质形式存档并由专人保管**
- 虽然纸质档案可以作为辅助手段，但根据《人类精子库基本标准和技术规范》，现代精子库必须建立计算机管理系统，仅采用纸质形式不符合规范要求。

**B选项：精子库需对供精者资料进行计算机管理但无需永久保存**
- 错误。供精者资料必须永久保存，这是因为：
  - 可能涉及后代的遗传疾病追溯
  - 防止近亲婚配
  - 满足医学和伦理需要

**C选项：保密义务仅针对供精者而不包括受精者**
- 错误。保密义务应同时保护供精者和受精者（接受人工授精的妇女）双方的隐私权益。

**D选项：供精者档案必须经计算机管理并永久保存**
- 正确。根据相关规范要求：
  - 必须建立计算机管理系统
  - 供精者和受精者档案需永久保存
  - 便于信息查询、统计和追溯管理

**E选项：保密义务允许在未经同意时向科研机构共享脱敏数据**
- 错误。即使是脱敏数据，未经同意的共享仍可能违反保密原则和伦理要求。

【最终答案】：D",客观题,D
辅助生殖,"你是一个严格按照要求答题的医学考试考生。请你先展示出完整的思考过程，然后再输出最终答案。每道题目有至少两个选项（A、B）至多五个选项（A、B、C、D、E），题目为不定项选择题，请按照以下格式作答：

【思考过程】：...

【最终答案】：AB / BCE / CD / DE / E / ...（只输出选项的编号，不要写选项内容）

示例：
题目：医疗伦理中四大基本原则是？
A.尊重自主权
B.善意行为
C.无害原则
D.公正原则
E.以上都不是
【思考过程】：本题考查医学伦理的四大基本原则，包括尊重自主权、不伤害原则、行善原则、公正原则。

【最终答案】：ABCD

题目：人类精子库的技术质量监测和检查报告应当向哪些部门备案？
A.市级卫生行政部门
B.省级卫生行政部门
C.卫生部
D.市级医疗监管局
E.国务院
【思考过程】：",BC,Claude-4.5,"【思考过程】：

本题考查人类精子库管理的行政监管要求。

根据《人类精子库管理办法》和《人类辅助生殖技术管理办法》的相关规定：

1. 人类精子库属于国家严格管理的特殊医疗机构，涉及生殖健康和伦理问题

2. 技术质量监测和检查是确保精子库规范运行的重要手段

3. 根据我国卫生行政管理体系的层级管理原则：
   - 省级卫生行政部门：负责本省内人类精子库的审批、监督和日常管理，是直接监管部门
   - 卫生部（现国家卫生健康委员会）：作为国家级主管部门，需要掌握全国人类精子库的运行情况，进行宏观管理

4. 市级卫生行政部门主要负责辖区内一般医疗机构的监管，而人类精子库的管理权限在省级以上

5. 技术质量监测和检查报告应当同时向省级卫生行政部门和卫生部备案，实行双重备案制度

【最终答案】：BC",客观题,BC
辅助生殖,"你是一个严格按照要求答题的医学考试考生。请你先展示出完整的思考过程，然后再输出最终答案。每道题目有至少两个选项（A、B）至多五个选项（A、B、C、D、E），题目为不定项选择题，请按照以下格式作答：

【思考过程】：...

【最终答案】：AB / BCE / CD / DE / E / ...（只输出选项的编号，不要写选项内容）

示例：
题目：医疗伦理中四大基本原则是？
A.尊重自主权
B.善意行为
C.无害原则
D.公正原则
E.以上都不是
【思考过程】：本题考查医学伦理的四大基本原则，包括尊重自主权、不伤害原则、行善原则、公正原则。

【最终答案】：ABCD

题目：为确保不发生同一供精者精液被滥用，监控机制设定的每位供精者的精液标本最多可导致几名妇女受孕？
A.3名
B.4名
C.5名
D.6名
E.8名
【思考过程】：",C,Claude-4.5,"【思考过程】：

本题考查的是人类辅助生殖技术中关于供精者精液使用的监管规定。

为防止同一供精者精液滥用可能导致的问题：
1. **防止近亲繁殖风险**：如果同一供精者的精液使用过多，可能导致其后代在未来不知情的情况下近亲结婚
2. **伦理考量**：避免一个供精者有过多的遗传学后代
3. **社会问题**：减少潜在的社会伦理纠纷

根据我国卫生部《人类精子库基本标准和技术规范》以及《人类辅助生殖技术规范》的明确规定：

**每位供精者的精液最多只能使5名妇女受孕**

这是我国法规明确规定的上限，也是国际上较为通行的标准。超过这个数量，精子库必须停止使用该供精者的精液标本。

【最终答案】：C",客观题,C
辅助生殖,"你是一个严格按照要求答题的医学考试考生。请你先展示出完整的思考过程，然后再输出最终答案。每道题目有至少两个选项（A、B）至多五个选项（A、B、C、D、E），题目为不定项选择题，请按照以下格式作答：

【思考过程】：...

【最终答案】：AB / BCE / CD / DE / E / ...（只输出选项的编号，不要写选项内容）

示例：
题目：医疗伦理中四大基本原则是？
A.尊重自主权
B.善意行为
C.无害原则
D.公正原则
E.以上都不是
【思考过程】：本题考查医学伦理的四大基本原则，包括尊重自主权、不伤害原则、行善原则、公正原则。

【最终答案】：ABCD

题目：根据相关法规，精子库必须将供精者的以下哪些信息上报至中央信息库？
A.姓名
B.年龄
C.身份证号
D.生物学特性标志
E.职业
【思考过程】：",ABCD,Claude-4.5,"【思考过程】：

本题考查精子库管理相关法规中供精者信息上报制度的内容。

根据《人类精子库基本标准和技术规范》以及《人类精子库管理办法》的相关规定：

1. **身份证号（C）**：这是必须上报的核心信息。身份证号作为唯一标识，用于：
   - 防止同一供精者在多个精子库重复供精
   - 建立全国联网的供精者档案
   - 防止血亲间的意外婚配

2. **生物学特性标志（D）**：也是必须上报的信息，包括：
   - 血型
   - HLA分型等遗传学标记
   - 用于医学追溯和遗传咨询

3. **不需上报的信息**：
   - 姓名（A）：为保护供精者隐私，通常使用编码而非真实姓名
   - 年龄（B）：虽然档案中有记录，但不需上报中央信息库
   - 职业（E）：属于一般信息，不需上报

上报中央信息库的主要目的是建立全国性的供精者身份识别系统，防止近亲婚配和过度使用同一供精者的精子。

【最终答案】：CD",客观题,CD
